SAMPLE_ID,TISSUE_ID,REGO,VOUCHER,ALTERNATIVE_ID,GENUS,SPECIES,UPDATED_SP,REGION,LOCATION,STATE,LAT,LON,VoucherNotes
NTMR_22191_Ct_essi,ABTC29726,NTM22191,NTMR_22191,ESSIA29726,Ctenotus,essingtonii,essingtonii,Australia,Litchfield NP,NT,-13.414,130.897222,NA
NTMR_22298_Ct_spal,ABTC30415,NTMR22298,NTMR_22298,NA,Ctenotus,spaldingi,spaldingi,Australia,Limmen Gate NP,NT,-15.48333,135.4122,NA
NTMR_22299_Ct_spal,ABTC30414,NTMR22299,NTMR_22299,NA,Ctenotus,spaldingi,spaldingi,Australia,"7k N Nathan River Station, Limmen Gate NP",NT,-15.53306,135.4081,NA
NTMR_22301_Ct_robu,ABTC30416,NTM22301,NTMR_22301,ROBUA30416,Ctenotus,robustus,robustus,Australia,"7K N Nathan R Stn, Limmen GaTE NP",NT,-15.533,135.408056,NA
NTMR_22305_Er_isol,ABTC30400,NTMR22305,NTMR_22305,NA,Eremiascincus,isolepis,isolepis,Australia,Nathan River HS  Limmen Gate NP,NT,-15.48806,135.4106,NA
NTMR_22325_Ct_spal,ABTC30410,NTMR22325,NTMR_22325,NA,Ctenotus,spaldingi,spaldingi,Australia,Tawallah Creek Limmen Gate NP,NT,-16.01583,135.6669,NA
NTMR_22387_Ct_mili,ABTC29855,NTM22387,NTMR_22387,MILIA29855,Ctenotus,militaris,militaris,Australia,"Keep R Gorge Carpark, Keep R NP",NT,-15.835,129.108611,NA
NTMR_22390_No_orna,ABTC29858,NTM22390,NTMR_22390,NA,Notoscincus,ornatus,ornatus,Australia,"Keep River Gorge Carpark, Keep River NP",NT,-15.835,129.1086,NA
NTMR_22432_Ct_saxa,ABTC30404,NTM22432,NTMR_22432,SAXAA30404,Ctenotus,saxatilis,inornatus,Australia,"Nathan River Stn, Limmen Gate NP",NT,-15.578,135.429722,NA
NTMR_22441_Ct_stri,ABTC30403,NTM22441,NTMR_22441,STRIA30403,Ctenotus,striaticeps,striaticeps,Australia,"15k S Nathan R Stn, Limmen Gate NP",NT,-15.719,135.470833,NA
NTMR_22523_No_orna,ABTC30150,NTM22523,NTMR_22523,NA,Notoscincus,ornatus,ornatus,Australia,Mitchell Plateau,WA,-14.88,126.1719,NA
NTMR_22620_Ct_robu,ABTC29870,NTMR22620,NTMR_22620,NA,Ctenotus,robustus,robustus,Australia,Long Billabong Roper River,NT,-15.30667,135.3408,NA
NTMR_22621_Ct_spal,ABTC29871,NTMR22621,NTMR_22621,NA,Ctenotus,spaldingi,spaldingi,Australia,Long Billabong Roper River,NT,-15.30667,135.3408,NA
NTMR_22622_Ct_spal,ABTC29872,NTMR22622,NTMR_22622,NA,Ctenotus,spaldingi,spaldingi,Australia,Long Billabong Roper River,NT,-15.30667,135.3408,NA
NTMR_22747_Er_isol,ABTC29909,NTMR22747,NTMR_22747,NA,Eremiascincus,isolepis,isolepis,Australia,English Company Isles  Pobasso Island,NT,-11.90889,136.4425,NA
NTMR_22934_Ct_robu,ABTC30181,NTM22934,NTMR_22934,ROBUA30181,Ctenotus,robustus,robustus,Australia,"Spirit Hills, Keep R",NT,-15.307,129.158333,NA
NTMR_22970_Gl_darw,ABTC30040,NTMR22970,NTMR_22970,NA,Glaphyromorphus,darwiniensis,darwiniensis,Australia,Pickertaramoor  Melville Island,NT,-11.76972,130.8889,NA
NTMR_23004_Ct_bore,ABTC30072,NTMR23004,NTMR_23004,NA,Ctenotus,borealis,robustus,Australia,creek SW Pickertaramoor,NT,-11.78222,130.7744,NA
NTMR_23007_Er_doug,ABTC30075,NTMR23007,NTMR_23007,NA,Eremiascincus,douglasi,douglasi,Australia,Maxwell Creek Melville Is,NT,-11.54417,130.5875,NA
NTMR_23150_Ct_cogg,"ABTC30198,P-075 COG",NTM23150,NTMR_23150,COGGSP075,Ctenotus,coggeri,coggeri,Australia,Oenpelli,NT,-12.383,133.075833,NA
NTMR_23791_Ct_robu,ABTC30603,NTM23791,NTMR_23791,ROBUA30603,Ctenotus,robustus,robustus,Australia,Wickham R Gregory NP,NT,-16.853,130.185556,NA
NTMR_23810_Er_isol,ABTC30623,NTMR23810,NTMR_23810,NA,Eremiascincus,isolepis,isolepis,Australia,Wickham River  Gregory NP,NT,-16.88333,130.1833,NA
NTMR_23903_Er_doug,ABTC30648,NTMR23903,NTMR_23903,NA,Eremiascincus,douglasi,douglasi,Australia,near Ramingining  Arafura Swamp,NT,-12.37333,134.9133,NA
NTMR_23940_Gl_darw,ABTC30679,NTMR23940,NTMR_23940,NA,Glaphyromorphus,darwiniensis,darwiniensis,Australia,near Ramingining  Arafura Swamp,NT,-12.37056,134.9189,NA
NTMR_23960_Ct_robu,ABTC30705,NTMR23960,NTMR_23960,NA,Ctenotus,robustus,robustus,Australia,Ramingining area Arafura Swamp,NT,-12.2175,134.9847,NA
NTMR_25649_Ct_leon,ABTC70645,NTM25649,NTMR_25649,LEONA70645,Ctenotus,leonhardii,leonhardii,Australia,Stuart Highway; Kulgera,NT,-25.845,133.310556,NA
NTMR_25983_Ct_spal,ABTC70692,NTMR25983,NTMR_25983,NA,Ctenotus,spaldingi,superciliaris,Australia,"Jasper Gorge, Gregory National Park",NT,-16.03778,130.79,NA
NTMR_26117_Ct_inor,ABTC72530,NTM26117,NTMR_26117,INORA72530,Ctenotus,inornatus,superciliaris,Australia,Upper Reaches; Arnhemland Plateau,NT,-13.283,133.533333,NA
QM_48384_Ct_robu,ABTC16215,QM48384,QM_48384,ROBUA16215,Ctenotus,robustus,robustus,Australia,Winton,QLD,-22.4,143,NA
QM_59674_Ct_ingr,"ABTC32120,P-087 ING",QM59674,QM_59674,"INGRA32120,INGRSP087",Ctenotus,ingrami,ingrami,Australia,Yuleba SF,QLD,-26.536,149.42,NA
QM_62377_Ct_broo,ABTC32193,QM62377,QM_62377,BROOA32193,Ctenotus,brooksi,taeniatus,Australia,Durrie Stn QLD,QLD,-25.65,140.233333,NA
QM_62378_Ct_pant,ABTC32194,QM62378,QM_62378,PANTA32194,Ctenotus,pantherinus,pantherinus,Australia,Ethabuka Stn QLD,QLD,-23.833,138.083333,NA
QM_76028_Ct_euta,ABTC105805,QM76028,QM_76028,NA,Ctenotus,eutaenius,eutaenius,Australia,"Mungana Caves Road, 5k W Chinchilla",QLD,-17.15,144.467,NA
QM_82086_Ct_spal,ABTC105811,QM82086,QM_82086,SPALA105811,Ctenotus,spaldingi,spaldingi,Australia,"Lion's Den Pub, near Black Mountain",QLD,-15.8,145.25,NA
QM_82940_Ct_ingr,ABTC105812,QM82940,QM_82940,NA,Ctenotus,ingrami,ingrami,Australia,"Chesterton NP, adjacent Winneba Tank, 42k NE Morven",QLD,-26.163,147.4575,NA
QM_84335_Ct_quin,ABTC105817,QM84335,QM_84335,QUINA105817,Ctenotus,quinkan,quinkan,Australia,Hells Gate Creek,QLD,-15.683,144.55,NA
QM_87405_Ct_rosa,ABTC105820,QM87405,QM_87405,ROSAA105820,Ctenotus,rosarium,rosarium,Australia,White Mountains NP,QLD,-20.724,145.179,NA
QMJ_46088_An_verr,ABTC3851,NA,QMJ_46088,NA,Anomalopus,verreauxii,verreauxii,Australia,25k S Cooyar,QLD,-27.15,151.95,NA
QMJ_46141_Eu_murr,ABTC3902,NA,QMJ_46141,NA,Eulamprus,murrayi,murrayi,Australia,Mary Cairncross Park near Maleny,QLD,-26.76667,152.85,NA
QMJ_59237_Co_nauf,ABTC32113,QMJ59237,QMJ_59237,NA,Coggeria,naufragus,naufragus,Australia,Fraser Island,QLD,-25.48,153.05,NA
QMJ_62336_Le_zonu,ABTC32184,QMJ62336,QMJ_62336,NA,Lerista,zonulata,zonulata,Australia,Hughenden area,QLD,-20.85,144.2,NA
QMJ_62372_Ct_regi,ABTC32188,QMJ62372,QMJ_62372,NA,Ctenotus,regius,regius,Australia,Durrie Station,QLD,-25.65,140.2333,NA
QMJ_62373_Ct_asta,ABTC32189,QMJ62373,QMJ_62373,NA,Ctenotus,astarte,astarte,Australia,Morney Station Dump,QLD,-25.36667,141.4667,NA
QMJ_62380_Ct_dux,ABTC32196,QMJ62380,QMJ_62380,NA,Ctenotus,dux,dux,Australia,Ethabuka Station,QLD,-23.83333,138.0833,NA
QMJ_74401_Ct_zebr,ABTC72938,QMJ74401,QMJ_74401,NA,Ctenotus,zebrilla,zebrilla,Australia,Porcupine Creek  27k N Porcupine Creek campground,QLD,-20.16389,144.5183,NA
QMJ_91647_Ca_scut,ABTC127704,QMJ91647,QMJ_91647,NA,Calyptotis,scutirostrum,scutirostrum,Australia,Border Track  200m N Wanungara Lookout  Lamington NP,QLD,-24.360915,151.022521,NA
SAMAR_20904_Le_dors,ABTC54532,SAMAR20904,SAMAR_20904,NA,Lerista,dorsalis,dorsalis,Australia,52k S Olympic Dam,SA,-30.91667,136.8833,NA
SAMAR_21140_An_leuc,ABTC53603,SAMAR21140,SAMAR_21140,NA,Anomalopus,leuckartii,leuckartii,Australia,20k S Tenterfield,NSW,-29.23333,152,NA
SAMAR_21143_Eu_tenu,ABTC54753,SAMAR21143,SAMAR_21143,NA,Eulamprus,tenuis,tenuis,Australia,40k S Tenterfield,NSW,-29.36667,151.9,NA
SAMAR_21409_Eu_tymp,ABTC54757,SAMAR21409,SAMAR_21409,NA,Eulamprus,tympanum,tympanum,Australia,Mt Saint Leonhard,VIC,-37.56667,145.5333,NA
SAMAR_22307_Eu_quoy,ABTC54771,SAMAR22307,SAMAR_22307,NA,Eulamprus,quoyii,quoyii,Australia,Sturt Creek Adelaide,SA,-34.88333,139.3833,NA
SAMAR_22598_Le_edwa,ABTC54537,SAMAR22598,SAMAR_22598,NA,Lerista,edwardsae,edwardsae,Australia,near Dublin,SA,-34.46667,138.3167,NA
SAMAR_23952_Eu_tymp,ABTC54791,SAMAR23952,SAMAR_23952,NA,Eulamprus,tympanum,tympanum,Australia,near Port MacDonnell,SA,-38.05,140.75,NA
SAMAR_24578_Ct_scho,ABTC53659,SAMAR24578,SAMAR_24578,NA,Ctenotus,schomburgkii,schomburgkii,Australia,7k N King Lookout,SA,-26.88333,140.6,NA
SAMAR_24580_Er_fasc,ABTC54308,SAMAR24580,SAMAR_24580,NA,Eremiascincus,fasciolatus,fasciolatus,Australia,Kings Lookout,SA,-26.93333,140.6,NA
SAMAR_24688_Ct_leae,ABTC53671,SAMAR24688,SAMAR_24688,NA,Ctenotus,leae,leae,Australia,13k SSW Merty Merty HS,SA,-28.66667,140.2167,NA
SAMAR_24711_Er_doug,ABTC54804,SAMAR24711,SAMAR_24711,NA,Eremiascincus,douglasi,douglasi,Australia,Darwin,NT,-12.45,130.8333,NA
SAMAR_25378_Ct_scho,ABTC40577,SAMAR25378,SAMAR_25378,NA,Ctenotus,schomburgkii,schomburgkii,Australia,Ifould Camp  no.5 Colona,SA,-30.8,132.1167,NA
SAMAR_25605_Ct_regi,ABTC40694,SAMAR25605,SAMAR_25605,NA,Ctenotus,regius,regius,Australia,near Colona Station,SA,-30.8,132.1167,NA
SAMAR_25645_Ct_orie,ABTC40781,SAMAR25645,SAMAR_25645,NA,Ctenotus,orientalis,orientalis,Australia,near Colona Station,SA,-31.53333,132.2667,NA
SAMAR_25688_Ct_eucl,ABTC40740,SAMAR25688,SAMAR_25688,NA,Ctenotus,euclae,euclae,Australia,near Yalata Roadhouse,SA,-31.49222,131.2667,NA
SAMAR_26061_Eu_kosc,ABTC54811,SAMAR26061,SAMAR_26061,NA,Eulamprus,kosciuskoi,kosciuskoi,Australia,Mt Kosciusko NP,NSW,-36.16667,148.3333,NA
SAMAR_26237_Ct_broo,ABTC53712,SAMAR26237,SAMAR_26237,NA,Ctenotus,brooksi,brooksi,Australia,10k N Lake Phillipson,SA,-29.35833,134.4667,NA
SAMAR_26265_Ct_scho,ABTC40621,SAMAR26265,SAMAR_26265,NA,Ctenotus,schomburgkii,schomburgkii,Australia,near Border Village,SA,-31.61389,129.1056,NA
SAMAR_26469_Le_dors,ABTC40800,SAMAR26469,SAMAR_26469,NA,Lerista,dorsalis,dorsalis,Australia,near Nullarbor HS,SA,-31.1,130.8667,NA
SAMAR_28398_Er_rich,ABTC54356,SAMAR28398,SAMAR_28398,NA,Eremiascincus,richardsonii,richardsonii,Australia,Margoon Dam,SA,-32.43333,136.9333,NA
SAMAR_28517_Ct_olym,ABTC53757,SAMAR28517,SAMAR_28517,NA,Ctenotus,olympicus,olympicus,Australia,115-120k NE Minnipa,SA,-32.33333,136.2833,NA
SAMAR_29245_Le_muel,ABTC54413,SAMAR29245,SAMAR_29245,NA,Lerista,muelleri,muelleri,Australia,62k S Coolgardie,WA,-31.36667,121.5333,NA
SAMAR_29459_He_pero,ABTC54064,SAMAR29459,SAMAR_29459,NA,Hemiergis,peronii,peronii,Australia,Ravensthorpe,WA,-33.58333,120.0333,NA
SAMAR_29462_He_init,ABTC54065,SAMAR29462,SAMAR_29462,NA,Hemiergis,initialis,initialis,Australia,Ravensthorpe,WA,-33.58333,120.0333,NA
SAMAR_29853_Ct_leae,ABTC4196,NA,SAMAR_29853,NA,Ctenotus,leae,leae,Australia,Curtin Springs,NT,-25.5,131.8167,NA
SAMAR_29902_Le_bipe,ABTC4234,NA,SAMAR_29902,NA,Lerista,bipes,bipes,Australia,Curtin Springs,NT,-25.51667,131.8167,NA
SAMAR_29939_Ct_broo,ABTC4259,NA,SAMAR_29939,NA,Ctenotus,brooksi,brooksi,Australia,Curtin Springs,NT,-25.5,131.8167,NA
SAMAR_29946_Ct_dux,ABTC4264,NA,SAMAR_29946,NA,Ctenotus,dux,dux,Australia,Curtin Springs,NT,-25.5,131.8167,NA
SAMAR_31012_Le_xant,ABTC14572,NA,SAMAR_31012,NA,Lerista,xanthura,xanthura,Australia,"7k S Prescott Point, Lake Eyre",SA,-29.03333,137.7,NA
SAMAR_31839_Le_labi,ABTC64075,SAMAR31839,SAMAR_31839,NA,Lerista,labialis,labialis,Australia,14k ESE Lake Bring,SA,-30.26028,133.1314,NA
SAMAR_31877_Ct_regi,ABTC64062,SAMAR31877,SAMAR_31877,NA,Ctenotus,regius,regius,Australia,2k E Mt Finke,SA,-30.92389,134.0303,NA
SAMAR_31889_Ct_leae,ABTC64052,SAMAR31889,SAMAR_31889,NA,Ctenotus,leae,leae,Australia,9.2k NE Mt Finke,SA,-30.89278,134.1,NA
SAMAR_31981_Le_edwa,ABTC54512,SAMAR31981,SAMAR_31981,NA,Lerista,edwardsae,edwardsae,Australia,Yumbarra WH,SA,-31.77194,133.4719,NA
SAMAR_32029_Ct_broo,ABTC64116,SAMAR32029,SAMAR_32029,NA,Ctenotus,brooksi,brooksi,Australia,Immarna Siding,SA,-30.58556,132.2392,NA
SAMAR_32054_Ct_leae,ABTC64144,SAMAR32054,SAMAR_32054,NA,Ctenotus,leae,leae,Australia,5.5k S Immarna Siding,SA,-30.55194,132.145,NA
SAMAR_32057_Le_taen,ABTC64175,SAMAR32057,SAMAR_32057,NA,Lerista,taeniata,taeniata,Australia,5.5k S Immarna Siding,SA,-30.55194,132.145,NA
SAMAR_32100_Le_dese,ABTC64164,SAMAR32100,SAMAR_32100,NA,Lerista,desertorum,desertorum,Australia,14.5k ESE Ooldea Siding,SA,-30.475,131.985,NA
SAMAR_32255_Ct_scho,ABTC64297,SAMAR32255,SAMAR_32255,NA,Ctenotus,schomburgkii,schomburgkii,Australia,39k SW Halinor Lake,SA,-29.44528,130.1744,NA
SAMAR_32289_Ct_regi,ABTC64325,SAMAR32289,SAMAR_32289,NA,Ctenotus,regius,regius,Australia,29k N Muckera RH,SA,-29.85972,130.1022,NA
SAMAR_32533_Sa_equa,ABTC14195,NA,SAMAR_32533,NA,Saiphos,equalis,equalis,Australia,Wollstonecraft,NSW,-33.83333,151.2,NA
SAMAR_32583_Eu_tymp,ABTC11499,NA,SAMAR_32583,NA,Eulamprus,tympanum,tympanum,Australia,5k S Nymboida,NSW,-29.96667,152.7,NA
SAMAR_32973_Sa_equa,ABTC14672,NA,SAMAR_32973,NA,Saiphos,equalis,equalis,Australia,Coogee,NSW,-33.93333,151.25,NA
SAMAR_33001_Er_rich,ABTC16148,NA,SAMAR_33001,NA,Eremiascincus,richardsonii,richardsonii,Australia,Chowilla,SA,-33.89861,140.9325,NA
SAMAR_33009_Eu_quoy,ABTC16147,NA,SAMAR_33009,NA,Eulamprus,quoyii,quoyii,Australia,Chowilla,SA,-33.94306,140.8792,NA
SAMAR_33521_Le_muel,ABTC3657,NA,SAMAR_33521,NA,Lerista,muelleri,muelleri,Australia,Mt Hope,NSW,-32.85,145.8833,NA
SAMAR_33562_An_leuc,ABTC3713,NA,SAMAR_33562,NA,Anomalopus,leuckartii,leuckartii,Australia,5k E Tooraweenah,NSW,-31.45,148.9667,NA
SAMAR_33564_An_leuc,ABTC3715,NA,SAMAR_33564,NA,Anomalopus,leuckartii,leuckartii,Australia,21k E Narrabri,NSW,-30.16667,149.9333,NA
SAMAR_33571_Ct_taen,ABTC3723,NA,SAMAR_33571,NA,Ctenotus,taeniolatus,taeniolatus,Australia,21k W Narrabrai,NSW,-30.16667,149.9333,NA
SAMAR_33601_Eu_quoy,ABTC3792,NA,SAMAR_33601,NA,Eulamprus,quoyii,quoyii,Australia,Cooney Creek,NSW,-30.53333,151.85,NA
SAMAR_33635_Eu_kosc,ABTC3797,NA,SAMAR_33635,NA,Eulamprus,kosciuskoi,kosciuskoi,Australia,Point Lookout,NSW,-30.48333,152.4167,NA
SAMAR_33636_Eu_kosc,ABTC3819,NA,SAMAR_33636,NA,Eulamprus,kosciuskoi,kosciuskoi,Australia,38k E Glen Innes,NSW,-29.63333,152.0833,NA
SAMAR_33644_An_leuc,ABTC3793,NA,SAMAR_33644,NA,Anomalopus,leuckartii,leuckartii,Australia,Cooney Creek,NSW,-30.53333,151.85,NA
SAMAR_33694_Eu_quoy,ABTC3960,NA,SAMAR_33694,NA,Eulamprus,quoyii,quoyii,Australia,Whian Whian SF,NSW,-28.58333,153.3667,NA
SAMAR_33709_Sa_equa,ABTC3983,NA,SAMAR_33709,NA,Saiphos,equalis,equalis,Australia,Cairncross SF,NSW,-31.38333,152.6,NA
SAMAR_33711_Ca_rufi,ABTC3989,NA,SAMAR_33711,NA,Calyptotis,ruficauda,ruficauda,Australia,Cairncross SF,NSW,-31.38333,152.6,NA
SAMAR_33727_Ct_taen,ABTC4010,NA,SAMAR_33727,NA,Ctenotus,taeniolatus,taeniolatus,Australia,Denman tip,NSW,-32.38333,150.6833,NA
SAMAR_33728_An_leuc,ABTC4011,NA,SAMAR_33728,NA,Anomalopus,leuckartii,leuckartii,Australia,Denman tip,NSW,-32.38333,150.6833,NA
SAMAR_33738_An_leuc,ABTC4023,NA,SAMAR_33738,NA,Anomalopus,leuckartii,leuckartii,Australia,29k N Rylstone,NSW,-32.53333,150.0833,NA
SAMAR_33878_Ca_scut,ABTC3843,NA,SAMAR_33878,NA,Calyptotis,scutirostrum,scutirostrum,Australia,2k S Ravensbourne,QLD,-27.33333,152.2333,NA
SAMAR_33879_Ca_scut,ABTC3866,NA,SAMAR_33879,NA,Calyptotis,scutirostrum,scutirostrum,Australia,3k SE Yarraman,QLD,-26.86667,152.0167,NA
SAMAR_34103_Er_isol,ABTC11781,NA,SAMAR_34103,NA,Eremiascincus,isolepis,isolepis,Australia,Jabiru East,NT,-12.65,132.8833,NA
SAMAR_34180_Ct_bore,ABTC11881,SAMAR34180,SAMAR_34180,NA,Ctenotus,borealis,superciliaris,Australia,Tanumbirini Station,NT,-16.45,134.6167,NA
SAMAR_34202_Ct_spal,ABTC11919,SAMAR34202,SAMAR_34202,NA,Ctenotus,spaldingi,spaldingi,Australia,Westmoreland Station,QLD,-17.33333,138.25,NA
SAMAR_34260_Ct_joan,ABTC11980,NA,SAMAR_34260,NA,Ctenotus,joanae,joanae,Australia,Soudan HS,NT,-20.05,137.0167,NA
SAMAR_34261_Ct_late,ABTC11988,NA,SAMAR_34261,NA,Ctenotus,lateralis,lateralis,Australia,6k E Camooweel,QLD,-19.91667,138.1667,NA
SAMAR_34689_Le_boug,ABTC40983,SAMAR34689,SAMAR_34689,NA,Lerista,bougainvillii,bougainvillii,Australia,Port MacDonnell,SA,-38.05,140.7,NA
SAMAR_34743_Ct_taen,ABTC16639,NA,SAMAR_34743,NA,Ctenotus,taeniolatus,taeniolatus,Australia,Bolivia Hill,NSW,-29.33333,151.9,NA
SAMAR_34780_Ct_stra,ABTC16689,NA,SAMAR_34780,NA,Ctenotus,strauchii,strauchii,Australia,Lake Eyre,SA,-31.63333,137.6167,NA
SAMAR_34798_Le_boug,ABTC16706,NA,SAMAR_34798,NA,Lerista,bougainvillii,bougainvillii,Australia,Cape Hart  Kangaroo Island,SA,-35.9,138.0333,NA
SAMAR_35025_Ct_aria,ABTC16846,NA,SAMAR_35025,NA,Ctenotus,ariadnae,ariadnae,Australia,12k S Bloodweed Bore,SA,-26.95,140.95,NA
SAMAR_35050_Ct_scho,ABTC24010,NA,SAMAR_35050,NA,Ctenotus,schomburgkii,schomburgkii,Australia,70k E Moomba,SA,-28.28333,140.9,NA
SAMAR_35906_Le_dese,ABTC488,NA,SAMAR_35906,NA,Lerista,desertorum,desertorum,Australia,Oasis Bore  Witjira NP,SA,-26.21667,135.9667,NA
SAMAR_35981_Le_muel,ABTC458,NA,SAMAR_35981,NA,Lerista,muelleri,muelleri,Australia,26k ESE Mt Dare HS,SA,-26.13333,135.5,NA
SAMAR_36034_Ct_taen,ABTC17040,NA,SAMAR_36034,NA,Ctenotus,taeniatus,taeniatus,Australia,Lake Palankarinna,SA,-28.75,138.4667,NA
SAMAR_36086_Ct_leae,ABTC30801,SAMAR36086,SAMAR_36086,NA,Ctenotus,leae,leae,Australia,Yulara,NT,-25.23333,131.0167,NA
SAMAR_36356_Le_boug,ABTC596,NA,SAMAR_36356,NA,Lerista,bougainvillii,bougainvillii,Australia,near Wathe Reserve,VIC,-35.5,142.4,NA
SAMAR_36575_Ct_eucl,ABTC56794,SAMAR36575,SAMAR_36575,NA,Ctenotus,euclae,euclae,Australia,7.5k NNW Courtabie,SA,-33.175,134.825,NA
SAMAR_36613_Le_dist,ABTC56800,SAMAR36613,SAMAR_36613,NA,Lerista,distinguenda,distinguenda,Australia,17.5k NE Courtabie Station,SA,-33.06889,134.9564,NA
SAMAR_36664_He_mill,ABTC56847,SAMAR36664,SAMAR_36664,NA,Hemiergis,millewae,millewae,Australia,20k S Karcultaby,SA,-32.94722,134.9722,NA
SAMAR_36665_He_pero,ABTC56848,SAMAR36665,SAMAR_36665,NA,Hemiergis,peronii,peronii,Australia,20k S Karcultaby,SA,-32.94722,134.9722,NA
SAMAR_36708_Er_doug,ABTC17128,NA,SAMAR_36708,NA,Eremiascincus,douglasi,douglasi,Australia,Black Point,NT,-11.16667,132.1333,NA
SAMAR_36710_Ct_essi,ABTC17132,NA,SAMAR_36710,NA,Ctenotus,essingtonii,essingtonii,Australia,Black Point Airstrip,NT,-11.16667,132.1333,NA
SAMAR_36883_Ct_stra,ABTC56894,SAMAR36883,SAMAR_36883,NA,Ctenotus,strauchii,strauchii,Australia,110k W Thargomindah,QLD,-27.71667,142.8,NA
SAMAR_36965_Er_rich,ABTC56914,SAMAR36965,SAMAR_36965,NA,Eremiascincus,richardsonii,richardsonii,Australia,Brookfield CP  2k W HS,SA,-34.36667,139.4667,NA
SAMAR_37073_Ct_scho,ABTC17226,NA,SAMAR_37073,NA,Ctenotus,schomburgkii,schomburgkii,Australia,Brookfield CP,SA,-34.31667,139.5,NA
SAMAR_37704_Le_pict,ABTC23714,NA,SAMAR_37704,NA,Lerista,picturata,picturata,Australia,Goat Island,SA,-32.3,133.5167,NA
SAMAR_37727_He_pero,ABTC23738,NA,SAMAR_37727,NA,Hemiergis,peronii,peronii,Australia,West Island,SA,-32.51667,133.25,NA
SAMAR_37730_Le_pict,ABTC23741,NA,SAMAR_37730,NA,Lerista,picturata,picturata,Australia,West Island,SA,-32.51667,133.25,NA
SAMAR_37916_Ct_stra,ABTC57004,SAMAR37916,SAMAR_37916,NA,Ctenotus,strauchii,strauchii,Australia,6k W Bopeechee near Lake Eyre South,SA,-29.55833,137.325,NA
SAMAR_37931_Eu_quoy,ABTC57009,SAMAR37931,SAMAR_37931,NA,Eulamprus,quoyii,quoyii,Australia,Scotts Lagoon  8.5k S Morgan,SA,-34.11667,139.6667,NA
SAMAR_38117_Ct_aria,ABTC706,NA,SAMAR_38117,NA,Ctenotus,ariadnae,ariadnae,Australia,1.5k SE Purni Bore,SA,-26.28333,136.1,NA
SAMAR_38122_Le_labi,ABTC701,NA,SAMAR_38122,NA,Lerista,labialis,labialis,Australia,2k NE Purni Bore,SA,-26.26667,136.1,NA
SAMAR_38335_Ct_orie,ABTC57134,SAMAR38335,SAMAR_38335,NA,Ctenotus,orientalis,orientalis,Australia,Roonka  10k N Blanchetown,SA,-34.28333,139.6333,NA
SAMAR_38349_Le_xant,ABTC57148,SAMAR38349,SAMAR_38349,NA,Lerista,xanthura,xanthura,Australia,Pooginook CP  3k N Highway 64,SA,-34.11667,140.1333,NA
SAMAR_38569_Le_dist,ABTC57240,SAMAR38569,SAMAR_38569,NA,Lerista,distinguenda,distinguenda,Australia,Middleback Ranges,SA,-33.16667,137.1333,NA
SAMAR_38585_Ct_leae,ABTC57254,SAMAR38585,SAMAR_38585,NA,Ctenotus,leae,leae,Australia,50m S Yorkeys Crossing,SA,-32.41667,137.75,NA
SAMAR_38610_Eu_heat,ABTC57265,SAMAR38610,SAMAR_38610,NA,Eulamprus,heatwolei,heatwolei,Australia,N shore Lake Alexandrina,SA,-35.4,139.3333,NA
SAMAR_39109_Eu_murr,ABTC12360,NA,SAMAR_39109,NA,Eulamprus,murrayi,murrayi,Australia,Doyle's River SF,NSW,-31.4,150.0667,NA
SAMAR_39112_Eu_tymp,ABTC12363,NA,SAMAR_39112,NA,Eulamprus,tympanum,tympanum,Australia,Doyle's River SF.,NSW,-31.4,150.0667,NA
SAMAR_39120_Sa_equa,ABTC12375,NA,SAMAR_39120,NA,Saiphos,equalis,equalis,Australia,Doyle's River SF.,NSW,-31.4,150.0667,NA
SAMAR_39124_Eu_murr,ABTC12366,NA,SAMAR_39124,NA,Eulamprus,murrayi,murrayi,Australia,81k W Wauchope,NSW,-31.3,151.9667,NA
SAMAR_39356_Le_boug,ABTC34553,SAMAR39356,SAMAR_39356,NA,Lerista,bougainvillii,bougainvillii,Australia,1k NE Mt Boothby,SA,-35.85583,139.7728,NA
SAMAR_39563_Ct_taen,ABTC34360,SAMAR39563,SAMAR_39563,NA,Ctenotus,taeniatus,taeniatus,Australia,14k SE Baan Hill,SA,-35.62389,140.4789,NA
SAMAR_39580_Ct_orie,ABTC34524,SAMAR39580,SAMAR_39580,NA,Ctenotus,orientalis,orientalis,Australia,7.5k NNW Kirra,SA,-35.71583,140.8469,NA
SAMAR_39603_He_pero,ABTC34664,SAMAR39603,SAMAR_39603,NA,Hemiergis,peronii,peronii,Australia,3k S Buccleuch,SA,-35.365,139.8808,NA
SAMAR_40000_Le_edwa,ABTC57344,SAMAR40000,SAMAR_40000,NA,Lerista,edwardsae,edwardsae,Australia,Western Pinkawillinie CP,SA,-33.11667,136.05,NA
SAMAR_40456_Er_rich,ABTC57384,SAMAR40456,SAMAR_40456,NA,Eremiascincus,richardsonii,richardsonii,Australia,1.8k E Blood Creek Ruin,SA,-26.28333,135.1167,NA
SAMAR_40597_Ct_regi,ABTC57401,SAMAR40597,SAMAR_40597,NA,Ctenotus,regius,regius,Australia,4k E Lake Woorong,SA,-29.45,134.2,NA
SAMAR_40736_Le_elon,ABTC57457,SAMAR40736,SAMAR_40736,NA,Lerista,elongata,elongata,Australia,near William Creek/Coober Pedy Road,SA,-29.075,135.0667,NA
