"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"AMR_123129_Ct_zast",9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"cluster_3",0.9996,"ABTC59808,P-114 ZAS","AM123129","AMR_123129","ZASTSP114","Ctenotus","zastictus","zastictus","Australia","Denham","WA",-25.926944,113.533889,NA
"CUMV_14305_Ct_gran",9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"cluster_2",0.9996,"DLR0249","CU14305","CUMV_14305","GRANDLR0249","Ctenotus","grandis","grandis","Australia","Lorna Glen Stn, Western Australia","WA",-26.226,121.5575,NA
"CUMV_14312_Ct_gran",9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"cluster_2",0.9996,"DLR0611","CU14312","CUMV_14312","GRANDLR0611","Ctenotus","grandis","grandis","Australia","Yamarna Stn, Western Australia","WA",-28.133,123.8667,NA
"CUMV_14357_Ct_dux",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"cluster_1",0.9996,"DLR0123","CU14357","CUMV_14357","DUXDLR0123","Ctenotus","dux","dux","Australia","Lorna Glen Stn, Western Australia","WA",-26.226,121.5575,NA
"CUMV_14361_Ct_dux",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"cluster_1",0.9996,"DLR0124","CU14361","CUMV_14361",NA,"Ctenotus","dux","dux","Australia","Lorna Glen Stn, Western Australia","WA",-26.226,121.5575,NA
"CUMV_14362_Ct_dux",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"cluster_1",0.9996,"DLR0125","CU14362","CUMV_14362","DUXDLR0125","Ctenotus","dux","dux","Australia","Lorna Glen Stn, Western Australia","WA",-26.226,121.5575,NA
"CUMV_14366_Ct_dux",0.954884,9.99736e-05,0.0448158,9.99736e-05,9.99736e-05,"cluster_1",0.954884,"DLR0582","CU14366","CUMV_14366","DUXDLR0582","Ctenotus","dux","dux","Australia","Yamarna Stn, Western Australia","WA",-28.133,123.8667,NA
"CUMV_14367_Ct_dux",0.972604,9.99736e-05,0.0270963,9.99736e-05,9.99736e-05,"cluster_1",0.972604,"DLR0584","CU14367","CUMV_14367","DUXDLR0584","Ctenotus","dux","dux","Australia","Yamarna Stn, Western Australia","WA",-28.133,123.8667,NA
"CUMV_14370_Ct_dux",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"cluster_1",0.9996,"DLR0260","CU14370","CUMV_14370","DUXDLR0260","Ctenotus","dux","dux","Australia","Yamarna Stn, Western Australia","WA",-28.133,123.8667,NA
"CUMV_14373_Ct_dux",0.944815,9.99736e-05,0.0548851,9.99736e-05,9.99736e-05,"cluster_1",0.944815,"DLR0450","CU14373","CUMV_14373","DUXDLR0450","Ctenotus","dux","dux","Australia","Yamarna Stn, Western Australia","WA",-28.133,123.8667,NA
