"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","ID"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"CUMV_14845_Ct_calu"
9.99734e-05,0.073233,0.926467,9.99734e-05,9.99734e-05,"NA_CCM0750_Ct_haly"
9.99734e-05,0.0245324,0.975168,9.99734e-05,9.99734e-05,"NA_CCM0751_Ct_haly"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"NA_CCM0804_Ct_haly"
9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,"NA_CCM0816_Ct_haly"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM0817_Ct_haly"
9.99734e-05,0.0880959,0.911604,9.99734e-05,9.99734e-05,"NA_CCM0820_Ct_haly"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"NA_CCM1006_Ct_ehma"
9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,"NA_CCM1013_Ct_ehma"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM1424_Ct_ehma"
9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,"NA_CCM1425_Ct_ehma"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NA_CCM4743_Ct_vert"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NA_CCM4823_Ct_stor"
9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,"NA_CCM4824_Ct_stor"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"WAMR_102658_Ct_nasu"
0.997231,9.99734e-05,0.00246938,9.99734e-05,9.99734e-05,"WAMR_139414_Ct_nigr"
0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,"WAMR_157327_Ct_rufe"
