taxon,range_size,niche_breadth,n_pts
Acanthophis antarcticus,2447375.589878,0.544888215961701,1924
Acanthophis hawkei,525772.550312,0.017335593788143,1756
Acanthophis praelongus,777365.206329,0.095450181264,1820
Acanthophis pyrrhus,3237602.387752,0.104550031836936,1954
Acanthophis wellsi,5508.048359,0.000785898328927,154
Acrochordus arafurae,689550.454364,0.151076539198249,1828
Amalosia jacovae,81185.977661,0.027716384704746,1095
Amalosia lesueurii,289199.071567,0.116355654571193,1601
Amalosia obscura,15804.983476,0.005233441569723,405
Amalosia rhombifer,1549694.239894,0.203645281471488,1913
Amphibolurus muricatus,592316.109541,0.194219382906679,1771
Amphibolurus norrisi,410113.075911,0.035163649650252,1695
Anepischetosia maccoyi,86393.343721,0.06321734887741,1113
Anilios affinis,875669.877776,0.836334791389143,1840
Anilios ammodytes,231320.187778,0.007864734541311,1524
Anilios aspinus,11852.473949,7.96919849439609E-05,301
Anilios australis,319361.432378,0.10379662993586,1622
Anilios bicolor,902415.26191,0.024847034017162,1836
Anilios bituberculatus,3318355.810765,0.158067553574184,1957
Anilios broomi,2012174.839507,0.856666860756237,1941
Anilios centralis,12185.378022,0.00025395152784,309
Anilios chamodracaena,81569.690341,0.006958251999116,1081
Anilios diversus,2715488.753916,0.310767838938662,1945
Anilios endoterus,1566368.761472,0.01417376589127,1906
Anilios ganei,24209.396116,0.001829587284309,529
Anilios grypus,2229567.69864,0.066990438710932,1934
Anilios guentheri,530137.083752,0.020461659754397,1734
Anilios hamatus,969844.289296,0.029794196538253,1831
Anilios howi,3270.102662,0.000889342429917,98
Anilios kimberleyensis,17177.352416,0.001213961560176,417
Anilios leptosomus,41742.949323,0.006226783507654,756
Anilios leucoproctus,49109.314215,0.018103576448504,833
Anilios ligatus,1357051.841148,0.265587689672282,1891
Anilios longissimus,2308.859676,2.06203453608496E-06,7
Anilios margaretae,8846.367712,2.91986194172453E-05,229
Anilios micrommus,8264.405668,0.001190467214219,216
Anilios minimus,2196.904268,7.26086377594598E-05,67
Anilios nema,4647.690631,3.09625611611574E-05,126
Anilios nigrescens,614901.476468,0.160337126676461,1776
Anilios pilbarensis,34746.56087,0.000368164239596,670
Anilios pinguis,194280.773072,0.068603088933686,1436
Anilios proximus,1248145.933938,0.393972105015496,1896
Anilios robertsi,2504.099591,0.00320328525026,71
Anilios silvia,6857.870206,0.003970796467557,180
Anilios splendidus,3343.129134,0.000398271868822,97
Anilios torresianus,418339.53013,0.435528571190013,1697
Anilios tovelli,3435.965205,3.77470777546618E-05,94
Anilios troglodytes,5763.486069,0.000336712683572,158
Anilios unguirostris,3163762.374848,1.08651830461526,1966
Anilios waitii,1351590.645934,0.092400437377156,1887
Anilios wiedii,1615335.790775,0.912563286158801,1901
Anilios yampiensis,5838.881321,0.000943989293509,159
Anilios yirrikalae,8532.412817,0.000200074895865,225
Anomalopus brevicollis,175733.811005,0.030582001927179,1419
Anomalopus gowi,104777.701288,0.163296306133607,1196
Anomalopus leuckartii,316756.253623,0.041039412289887,1633
Anomalopus mackayi,128020.279772,0.01078629132626,1272
Anomalopus pluto,3780.577262,0.000138099853094,112
Anomalopus swansoni,21205.897194,0.012364755321741,493
Anomalopus verreauxi,255891.430283,0.108985165278719,1558
Antaioserpens warro,394546.956159,0.277490428857196,1677
Antaresia childreni,916890.494084,0.03067786635129,1833
Antaresia maculosa,658053.516379,0.51597277020724,1787
Antaresia perthensis,670649.954793,0.015319808403298,1785
Antaresia stimsoni,4224431.053873,0.144978728638722,1973
Aprasia aurita,31850.838306,0.000368602549669,642
Aprasia clairae,3583.677201,0.000486674848408,110
Aprasia haroldi,7039.858982,0.00123465171141,213
Aprasia inaurita,478356.050402,0.017233628172803,1721
Aprasia litorea,562.496611,4.7012406162353E-05,21
Aprasia parapulchella,81658.433095,0.017336932609699,1097
Aprasia picturata,189994.949368,0.16123959716943,1463
Aprasia pseudopulchella,44852.201915,0.015409840417373,809
Aprasia pulchella,96733.319945,0.048516993310008,1141
Aprasia repens,288050.072864,0.096975875417382,1607
Aprasia rostrata,81238.178893,0.012972784442024,1093
Aprasia smithi,85441.97799,0.012265360327991,1078
Aprasia striolata,224590.842647,0.026717067100896,1492
Aprasia wicherina,367.584895,0.000113870224722,10
Aspidites melanocephalus,2559061.310582,0.293341709940303,1945
Aspidites ramsayi,3054660.10646,0.036716756199205,1954
Austrelaps labialis,11798.600988,0.02161854566274,304
Austrelaps ramsayi,127128.188652,0.067858809961245,1281
Austrelaps superbus,121720.642835,0.087840881551727,1269
Bassiana duperreyi,337969.139865,0.176268637553046,1632
Bassiana platynota,328288.222159,0.114235645213224,1630
Bassiana trilineata,320301.056303,0.065128536859538,1635
Bellatorias frerei,315457.991843,0.454457579221623,1637
Bellatorias major,90558.478634,0.053330204622242,1130
Bellatorias obiri,8598.100479,0.000945088544262,229
Boiga irregularis,2582407.026017,2.67625124881444,1938
Brachyurophis approximans,512031.093022,0.014364701148621,1732
Brachyurophis australis,825419.745812,0.166447204103927,1830
Brachyurophis fasciolatus,2217164.627945,0.037015852351878,1927
Brachyurophis incinctus,803293.196751,0.02364898699993,1825
Brachyurophis morrisi,36807.796485,0.001117722807863,720
Brachyurophis roperi,911934.54698,0.064095190376383,1841
Brachyurophis semifasciatus,3747711.314353,0.555108729009666,1960
Cacophis churchilli,19851.240211,0.142958472158369,464
Cacophis harriettae,222520.772472,0.075115239657126,1524
Cacophis krefftii,21427.825635,0.007899182657466,499
Cacophis squamulosus,254965.953293,0.129929701990007,1530
Calyptotis lepidorostrum,79728.591936,0.027256596122565,1077
Calyptotis ruficauda,16895.693306,0.011594022278003,399
Calyptotis scutirostrum,189766.316081,0.07910601795023,1410
Calyptotis temporalis,31834.020416,0.010323187101829,678
Calyptotis thorntonensis,4674.28746,0.02757498399745,123
Carlia amax,489158.729094,0.016337314305164,1712
Carlia decora,40731.475755,0.088920256204513,776
Carlia dogare,16337.225431,0.022708014015637,395
Carlia gracilis,519312.129734,0.020155155771763,1747
Carlia inconnexa,176.742044,8.89362754518583E-05,12
Carlia jarnoldae,156769.923444,0.177171980208506,1375
Carlia johnstonei,44000.311665,0.004907284100797,801
Carlia longipes,301923.745788,0.199382111387277,1607
Carlia munda,2366442.262503,0.339352870881208,1940
Carlia pectoralis,367667.340615,0.174736734401239,1666
Carlia rhomboidalis,88593.274393,0.146065636163773,1122
Carlia rimula,11212.214647,0.003327368900438,294
Carlia rostralis,255957.242157,0.098623156126505,1529
Carlia rubigo,332866.633069,0.144636255322621,1629
Carlia rubrigularis,75712.318263,0.151375784936893,1021
Carlia rufilatus,204711.321791,0.014930919441346,1467
Carlia schmeltzii,605150.129236,0.296088250932577,1796
Carlia sexdentata,99658.466052,0.008620056089826,1197
Carlia storri,179606.157332,0.356136784617875,1432
Carlia tetradactyla,385280.540965,0.106074577421864,1673
Carlia triacantha,1803972.395312,0.173410415263489,1918
Carlia vivax,745871.815474,0.63257987967368,1810
Carlia wundalthini,282.003112,0.000605625310986,10
Carphodactylus laevis,18846.780344,0.140379553367448,438
Cerberus australis,227142.650976,0.017914871066299,1515
Chelosania brunnea,568329.167955,0.016978905890838,1769
Chlamydosaurus kingii,1896922.235319,0.40936388539051,1923
Christinus alexanderi,105700.627492,0.000429726547515,1192
Christinus marmoratus,842743.374767,0.133474140047056,1833
Coeranoscincus frontalis,17896.010545,0.047078425144476,417
Coeranoscincus reticulatus,46130.365934,0.020694609260257,798
Coggeria naufragus,1518.068992,0.000941515075574,49
Concinnia amplus,12514.936311,0.010706772218949,310
Concinnia brachyosoma,204695.373629,0.24282380421369,1468
Concinnia frerei,9151.058455,0.02345897615184,244
Concinnia martini,176888.994817,0.063087687262613,1424
Concinnia queenslandiae,30162.680692,0.172703477544534,614
Concinnia sokosoma,311465.607171,0.059394068509951,1617
Concinnia tenuis,402446.750201,0.421495746683639,1681
Concinnia tigrinus,21472.193385,0.147923012546007,497
Crenadactylus ocellatus,3450858.879589,0.239161123679824,1951
Cryptagama aurita,124597.508848,0.002410289838461,1272
Cryptoblepharus adamsi,80315.958431,0.10234646300207,1061
Cryptoblepharus australis,3419393.017389,0.114791245731046,1955
Cryptoblepharus buchananii,1127319.006826,0.093887814457699,1864
Cryptoblepharus cygnatus,99149.151792,0.00400561136101,1186
Cryptoblepharus daedalos,16180.561123,0.000745112878214,392
Cryptoblepharus exochus,21464.638577,0.001016784741828,501
Cryptoblepharus fuhni,8747.439732,0.000717761465345,230
Cryptoblepharus gurrmul,321.063008,1.58547696838126E-05,19
Cryptoblepharus juno,67031.682822,0.008628315572224,1004
Cryptoblepharus litoralis,130085.667344,0.266691039350271,1338
Cryptoblepharus megastictus,461006.765139,0.014459905743795,1733
Cryptoblepharus mertensi,34844.575367,0.000520263395985,679
Cryptoblepharus metallicus,2093946.006878,0.259147074238633,1924
Cryptoblepharus ochrus,283570.710259,0.001368049318799,1586
Cryptoblepharus pannosus,2434918.155544,0.383029168856579,1946
Cryptoblepharus plagiocephalus,610170.132943,0.024976377865676,1772
Cryptoblepharus pulcher,867170.006482,0.295880839349864,1845
Cryptoblepharus ruber,499441.869875,0.018465686327885,1763
Cryptoblepharus tytthos,71383.652553,0.003472268967455,1028
Cryptoblepharus ustulatus,93064.71194,0.005129410850625,1150
Cryptoblepharus virgatus,947584.301426,1.51087859244412,1857
Cryptoblepharus wulbu,4978.791543,0.000330589793827,138
Cryptoblepharus zoticus,64448.97192,0.0016469487638,957
Cryptophis boschmai,637115.540951,0.203570915661019,1796
Cryptophis incredibilis,1963.029553,4.22967095343872E-05,13
Cryptophis nigrescens,759541.442712,0.842537831326483,1815
Cryptophis nigrostriatus,434622.141183,0.406921622809109,1693
Cryptophis pallidiceps,343519.450894,0.0114065478413,1655
Ctenophorus adelaidensis,399440.879031,0.038505492044275,1702
Ctenophorus butlerorum,10367.967061,0.002439717055707,293
Ctenophorus caudicinctus,3059455.229195,0.136739856646188,1955
Ctenophorus chapmani,232538.24486,0.008446110949744,1522
Ctenophorus clayi,1715765.74889,0.0270815214625,1925
Ctenophorus cristatus,927237.515798,0.012480342130424,1857
Ctenophorus decresii,165496.942206,0.029442516779111,1382
Ctenophorus femoralis,86159.834829,0.002855268519532,1123
Ctenophorus fionni,93640.585494,0.015479902809128,1154
Ctenophorus fordi,1011597.340875,0.012506102013886,1859
Ctenophorus gibba,52096.564507,0.000141308929337,873
Ctenophorus isolepis,3395116.938401,0.106880295965125,1962
Ctenophorus maculatus,567393.55868,0.066331798266095,1768
Ctenophorus maculosus,104517.396835,0.001257000256608,1187
Ctenophorus mckenziei,35921.244711,0.000377598189604,706
Ctenophorus mirrityana,2819.186671,0.00012181927942,86
Ctenophorus nguyarna,3607.116423,3.89503726966395E-06,96
Ctenophorus nuchalis,4760177.733168,0.123901269103212,1972
Ctenophorus ornatus,283917.966847,0.022628221167363,1589
Ctenophorus parviceps,60687.848926,0.00706617355696,971
Ctenophorus pictus,2035305.087152,0.042547447073689,1921
Ctenophorus reticulatus,1835319.388027,0.039133063366275,1902
Ctenophorus rufescens,155670.811515,0.000863826382609,1356
Ctenophorus salinarum,577821.550082,0.019261811023241,1763
Ctenophorus scutulatus,844603.200525,0.019711107832902,1836
Ctenophorus tjantjalka,98670.184688,0.000323343735063,1168
Ctenophorus vadnappa,30356.345785,0.002392182873963,624
Ctenophorus yinnietharra,13839.373077,5.66203666772546E-05,336
Ctenotus agrestis,4130.315484,6.5667083312374E-05,116
Ctenotus alacer,613683.034078,0.03752670967958,1785
Ctenotus alleni,58878.342153,0.005583701116507,945
Ctenotus allotropis,319705.230438,0.006202742238675,1634
Ctenotus angusticeps,9622.782932,0.000352836661141,252
Ctenotus aphrodite,12156.411966,1.87724698170183E-05,311
Ctenotus arcanus,37045.411089,0.011813780273281,706
Ctenotus ariadnae,939203.847544,0.005220583759202,1834
Ctenotus arnhemensis,13671.896183,0.002213674356895,344
Ctenotus astarte,127737.02109,0.000557415084329,1292
Ctenotus astictus,59736.985444,0.00348387526726,949
Ctenotus atlas,898990.632321,0.021323306159426,1858
Ctenotus australis,71142.722957,0.032128805774899,1020
Ctenotus borealis,130437.164735,0.006857297322752,1299
Ctenotus brachyonyx,509723.497596,0.008601845146489,1761
Ctenotus brevipes,163828.316701,0.007922429427328,1379
Ctenotus brooksi,1847476.84931,0.029238800649124,1927
Ctenotus burbidgei,84185.43082,0.009277624055333,1080
Ctenotus calurus,1399960.081897,0.02844697781818,1898
Ctenotus capricorni,19951.274082,0.000509725274446,459
Ctenotus catenifer,96731.34358,0.037175620264334,1175
Ctenotus coggeri,7702.658945,0.000655140545476,205
Ctenotus colletti,838807.704087,0.031095900841437,1842
Ctenotus decaneurus,179143.511036,0.009810888031957,1435
Ctenotus delli,3989.261441,0.001704014927345,109
Ctenotus dux,798322.042821,0.006450448739601,1825
Ctenotus ehmanni,17831.013788,0.001404417319481,408
Ctenotus essingtonii,415811.05064,0.109552694366517,1721
Ctenotus eurydice,43379.927151,0.029921168379399,778
Ctenotus eutaenius,24354.093765,0.013470369563275,538
Ctenotus fallens,130710.847686,0.046386603942013,1299
Ctenotus gagudju,17671.381686,0.002172670091937,424
Ctenotus gemmula,241201.992799,0.067993139894251,1515
Ctenotus grandis,1820233.862716,0.041597475295986,1923
Ctenotus greeri,677988.587474,0.015142471317765,1813
Ctenotus halysis,56685.846659,0.005572002702693,908
Ctenotus hanloni,1167455.607492,0.014860141539133,1880
Ctenotus hebetior,366577.976385,0.013878675393592,1668
Ctenotus helenae,2426978.693659,0.058999917221578,1940
Ctenotus hilli,124052.968658,0.007107227742824,1279
Ctenotus iapetus,40566.355773,0.001083459790541,755
Ctenotus impar,403164.293714,0.05937780743802,1694
Ctenotus ingrami,541717.842355,0.051842527300523,1747
Ctenotus inornatus,1078848.808031,0.031820814092671,1868
Ctenotus joanae,785396.176154,0.030554496167149,1834
Ctenotus kurnbudj,10487.191087,0.000863949631865,274
Ctenotus labillardieri,118298.05099,0.056509657800278,1263
Ctenotus lancelini,805.53032,5.72111803850242E-05,26
Ctenotus lateralis,362906.88559,0.026057724338123,1660
Ctenotus leae,1197359.014517,0.009669457210547,1870
Ctenotus leonhardii,3879842.431226,0.060121876668261,1957
Ctenotus maryani,49070.006267,0.001171291879452,811
Ctenotus mastigura,23594.882393,0.004112412059655,551
Ctenotus mesotes,6742.771419,0.000800016547432,196
Ctenotus militaris,214988.902338,0.014398639484305,1495
Ctenotus mimetes,521558.792054,0.024689704247972,1747
Ctenotus monticola,15251.117117,0.018026932896914,368
Ctenotus nasutus,376986.615746,0.001990026840456,1651
Ctenotus nigrilineatus,2864.766451,4.8334122278486E-05,84
Ctenotus nullum,9074.286679,0.013576867722152,238
Ctenotus olympicus,394326.221948,0.009226093490354,1664
Ctenotus ora,6706.612434,0.003832419092662,185
Ctenotus orientalis,879541.152016,0.083711085260933,1820
Ctenotus pallescens,134304.487125,0.000701131943798,1311
Ctenotus pantherinus,5029065.685351,0.225621305099152,1965
Ctenotus piankai,2344366.418101,0.09111076948911,1946
Ctenotus pulchellus,354057.930227,0.008508554357329,1659
Ctenotus quattuordecimlineatus,1205830.775984,0.014575232408787,1872
Ctenotus quinkan,21344.874675,0.004137325229362,486
Ctenotus quirinus,190263.137754,0.009678668666983,1468
Ctenotus rawlinsoni,4048.426748,0.003069337570577,117
Ctenotus regius,1242444.252558,0.018071365008344,1874
Ctenotus rimacolus,56551.095383,0.002840498701568,890
Ctenotus robustus,2926331.45358,1.19948204463857,1939
Ctenotus rosarium,22212.63394,0.002185750780393,510
Ctenotus rubicundus,81260.196083,0.004478445991526,1056
Ctenotus rufescens,6308.25077,4.52809819440564E-05,170
Ctenotus rutilans,65154.300513,0.004214282689077,953
Ctenotus saxatilis,2726574.93244,0.110641050755076,1948
Ctenotus schevilli,117926.457008,0.002798564933678,1283
Ctenotus schomburgkii,3450360.79983,0.059993210016504,1949
Ctenotus septenarius,106057.36808,0.000220619388419,1221
Ctenotus serotinus,19819.371498,5.53288809008254E-05,449
Ctenotus serventyi,236449.519741,0.012464194962819,1536
Ctenotus severus,495712.665458,0.01038553227802,1746
Ctenotus spaldingi,1023791.098288,0.120695916427836,1883
Ctenotus storri,24563.735919,0.000311629207529,548
Ctenotus strauchii,1917102.982113,0.097170189830615,1924
Ctenotus striaticeps,39495.864946,0.00199072928747,731
Ctenotus stuarti,6865.846219,2.41208518286281E-05,187
Ctenotus taeniolatus,838424.217662,0.481344851962236,1854
Ctenotus tanamiensis,449282.213974,0.012914115257276,1706
Ctenotus tantillus,71881.436004,0.006477654827519,1032
Ctenotus terrareginae,10988.849248,0.011847318056848,290
Ctenotus uber,2465051.437785,0.082596942942089,1949
Ctenotus vertebralis,29409.270568,0.003522684743249,613
Ctenotus xenopleura,35022.315442,0.000832279604582,674
Ctenotus youngsoni,10769.753505,0.00218243188391,302
Ctenotus zastictus,12116.850922,0.001949943109892,330
Ctenotus zebrilla,49293.52718,0.003013806208172,828
Cyclodomorphus branchialis,56705.925575,0.009537870152763,909
Cyclodomorphus casuarinae,66686.234986,0.083251973792618,998
Cyclodomorphus celatus,99784.665292,0.02490912181808,1151
Cyclodomorphus maxima,36952.904987,0.00416569535721,722
Cyclodomorphus melanops,3016993.083492,0.145133435967014,1955
Cyclodomorphus michaeli,24262.130163,0.030590986037372,550
Cyclodomorphus praealtus,15721.611476,0.012103474177442,381
Cyclodomorphus venustus,268788.031314,0.003244907035787,1578
Cyrtodactylus adorus,6825.905881,0.001568260650515,191
Cyrtodactylus hoskini,2130.313539,0.000671512160842,61
Cyrtodactylus mcdonaldi,26746.650282,0.04674772209013,576
Cyrtodactylus pronarus,3070.546542,0.001192841320568,85
Cyrtodactylus tuberculatus,58806.370158,0.059509365536575,913
Delma australis,2220843.882271,0.092228212477627,1933
Delma borea,2226207.49193,0.185730913787487,1934
Delma butleri,3138588.648721,0.113541132767562,1953
Delma concinna,36438.896706,0.022296856159398,731
Delma desmosa,1023325.92811,0.02412482281482,1861
Delma elegans,50695.417467,0.005412039196049,853
Delma fraseri,739602.459056,0.085262561755047,1813
Delma grayii,184308.58251,0.016567414114902,1440
Delma haroldi,586334.688193,0.02310040108744,1774
Delma hebesa,6227.780366,0.005332412010761,185
Delma impar,248141.934773,0.099629594650565,1513
Delma inornata,809106.166261,0.1167195311221,1817
Delma labialis,17812.265799,0.008844706969491,436
Delma mitella,8377.078516,0.034008476394204,221
Delma molleri,97565.63754,0.022610753920494,1145
Delma nasuta,2963934.864617,0.106351777925778,1947
Delma pax,506085.948412,0.010699826588701,1724
Delma petersoni,245693.390972,0.001406273529723,1553
Delma plebeia,202122.556691,0.066013653409487,1470
Delma tealei,5799.691295,0.000503211195257,169
Delma tincta,5796139.469369,0.555516504226357,1980
Delma torquata,90915.703765,0.01741565008129,1149
Demansia angusticeps,213711.195184,0.008491208508265,1475
Demansia calodera,45417.300703,0.008184150814151,791
Demansia flagellatio,44521.202296,0.002774131739227,798
Demansia olivacea,299347.579799,0.012375643339448,1648
Demansia papuensis,616467.74016,0.073906018229253,1760
Demansia psammophis,3659270.682454,0.424881127535251,1959
Demansia quaesitor,262631.424422,0.015609951354974,1569
Demansia reticulata,115364.500402,0.037390921443658,1242
Demansia rimicola,833992.268258,0.071847313326891,1819
Demansia rufescens,105651.16627,0.00670771151267,1122
Demansia shinei,374645.916857,0.011846492044452,1662
Demansia simplex,25129.152452,0.003717272100862,551
Demansia torquata,1989119.176574,0.359303531587417,1919
Demansia vestigiata,1127614.283429,0.335653288526981,1870
Dendrelaphis calligastra,724565.425481,0.532882030237745,1836
Dendrelaphis punctulatus,1679835.737339,1.94923606682289,1900
Denisonia devisi,1100155.617787,0.090299630812242,1870
Denisonia maculata,111809.07593,0.017299080913691,1216
Diplodactylus barraganae,17299.062949,0.000367751596485,428
Diplodactylus bilybara,130802.052934,0.007655526323307,1316
Diplodactylus calcicolus,467897.489131,0.030656808340548,1728
Diplodactylus capensis,1323.770877,0.00036731042273,42
Diplodactylus conspicillatus,4951589.403678,0.206623227907418,1964
Diplodactylus custos,80728.402614,0.01341130537007,1072
Diplodactylus fulleri,17547.431858,8.43940657094978E-05,409
Diplodactylus furcosus,543350.807284,0.061894791979647,1739
Diplodactylus galaxias,58200.663038,0.002576501327749,918
Diplodactylus galeatus,339875.650854,0.002888434830044,1630
Diplodactylus granariensis,1282807.284655,0.088329384403895,1884
Diplodactylus hillii,32892.27955,0.003795513793074,656
Diplodactylus kenneallyi,10083.151175,8.11483951867921E-06,257
Diplodactylus klugei,57238.127762,0.001760019747536,929
Diplodactylus laevis,349661.594256,0.014275530168757,1651
Diplodactylus lateroides,16315.676781,0.007907271356544,392
Diplodactylus mitchelli,142225.774936,0.006655985487019,1323
Diplodactylus nebulosus,7408.177405,0.001957508058366,206
Diplodactylus ornatus,125082.681841,0.019154293515322,1302
Diplodactylus platyurus,490.58547,0.102482057742919,20
Diplodactylus polyophthalmus,56111.863998,0.024673791973689,886
Diplodactylus pulcher,1302258.125264,0.048035896883013,1901
Diplodactylus savagei,72103.607985,0.002214270454296,1012
Diplodactylus tessellatus,2256665.337126,0.055767407538132,1938
Diplodactylus vittatus,1585792.055559,0.213374522028172,1905
Diplodactylus wiru,106396.302201,0.001833634277134,1223
Diporiphora adductus,39165.269331,0.000915773933689,741
Diporiphora albilabris,130936.601053,0.013962061079742,1299
Diporiphora ameliae,18756.746377,0.000218633233038,443
Diporiphora amphiboluroides,836225.41294,0.007769803029576,1828
Diporiphora arnhemica,342905.087719,0.011578468911172,1663
Diporiphora australis,679270.506703,0.337955292494035,1804
Diporiphora bennettii,261897.839349,0.01448615482319,1562
Diporiphora bilineata,889389.212732,0.134764599327103,1851
Diporiphora convergens,7554.887274,0.001934363268869,215
Diporiphora lalliae,1329005.327981,0.058630233933171,1900
Diporiphora linga,153697.780846,0.002288747415971,1360
Diporiphora magna,507339.811812,0.013017531841873,1745
Diporiphora margaretae,13477.448123,0.001786178904688,338
Diporiphora nobbi,1000982.112806,0.306074607488645,1859
Diporiphora paraconvergens,894081.893527,0.033416483072261,1854
Diporiphora phaeospinosa,31679.669609,0.004236163431804,638
Diporiphora pindan,41702.543266,0.001943255911484,778
Diporiphora reginae,232287.686464,0.001547276909206,1530
Diporiphora superba,100863.532895,0.012163753505267,1186
Diporiphora valens,59456.456666,0.002358154931153,939
Diporiphora vescus,29545.415383,0.000915581925333,610
Diporiphora winneckei,2445424.333005,0.078558196236684,1938
Drysdalia coronoides,308475.088589,0.206109872653293,1613
Drysdalia mastersii,166625.525252,0.013138640376782,1393
Drysdalia rhodogaster,52719.80223,0.041951794622214,871
Echiopsis curta,695582.453596,0.076056819736612,1796
Egernia cunninghami,406785.95379,0.118715109043838,1675
Egernia cygnitos,117942.470427,0.007379988555553,1239
Egernia depressa,1589567.826553,0.033574660400097,1918
Egernia douglasi,51103.994047,0.003094403099542,875
Egernia eos,196019.768444,0.004133006223436,1441
Egernia epsisolus,91412.485972,0.001662975227617,1157
Egernia formosa,668669.312685,0.013127972551666,1797
Egernia hosmeri,487357.045999,0.052545205432307,1738
Egernia kingii,271561.142197,0.085219831558779,1579
Egernia mcpheei,47263.227213,0.030516968242746,820
Egernia napoleonis,153371.726561,0.065475734638066,1353
Egernia pilbarensis,15530.825603,0.000766199984888,379
Egernia richardi,266802.031298,0.045067190006119,1559
Egernia rugosa,958980.109646,0.303599382755723,1839
Egernia saxatilis,218769.945193,0.056029732232919,1485
