SNP,miss_prop
V2,0.37
V3,0.38
V4,0.44
V5,0.11
V6,0.27
V7,0.38
V8,0.32
V9,0.38
V10,0.27
V11,0.37
V12,0.39
V13,0.4
V14,0.38
V15,0.34
V16,0.16
V17,0.32
V18,0.38
V19,0.18
V20,0.28
V21,0.35
V22,0.84
V23,0.17
V24,0.3
V25,0.38
V26,0.33
V27,0.19
V28,0.39
V29,0.22
V30,0.33
V31,0.13
V32,0.38
V33,0.06
V34,0.47
V35,0.34
V36,0.36
V37,0.27
V38,0.22
V39,0.38
V40,0.97
V41,0.1
V42,0.38
V43,0.16
V44,0.21
V45,0.15
V46,0.16
V47,0.28
V48,0.82
V49,0.11
V50,0.87
V51,0.1
V52,0.26
V53,0.23
V54,0.09
V55,0.92
V56,0.28
V57,0.4
V58,0.28
V59,0.36
V60,0.41
V61,0.27
V62,0.24
V63,0.36
V64,0.35
V65,0.12
V66,0.28
V67,0.28
V68,0.3
V69,0.32
V70,0.33
V71,0.89
V72,0.4
V73,0.88
V74,0.23
V75,0.35
V76,0.22
V77,0.14
V78,0.23
V79,0.25
V80,0.26
V81,0.41
V82,0.4
V83,0.35
V84,0.25
V85,0.26
V86,0.33
V87,0.15
V88,0.25
V89,0.3
V90,0.28
V91,0.53
V92,0.38
V93,0.28
V94,0.39
V95,0.4
V96,0.39
V97,0.2
V98,0.36
V99,0.86
V100,0.28
V101,0.26
V102,0.41
V103,0.29
V104,0.17
V105,0.14
V106,0.32
V107,0.38
V108,0.29
V109,0.17
V110,0.91
V111,0.35
V112,0.16
V113,0.29
V114,0.11
V115,0.21
V116,0.13
V117,0.36
V118,0.29
V119,0.14
V120,0.21
V121,0.02
V122,0.24
V123,0.85
V124,0.26
V125,0.13
V126,0.3
V127,0.32
V128,0.09
V129,0.26
V130,0.3
V131,0.31
V132,0.17
V133,0.25
V134,0.29
V135,0.38
V136,0.13
V137,0.1
V138,0.19
V139,0.32
V140,0.38
V141,0.37
V142,0.08
V143,0.28
V144,0.24
V145,0.35
V146,0.17
V147,0.36
V148,0.2
V149,0.33
V150,0.86
V151,0.08
V152,0.23
V153,0.38
V154,0.38
V155,0.89
V156,0.26
V157,0.35
V158,0.15
V159,0.92
V160,0.23
V161,0.93
V162,0.84
V163,0.02
V164,0.38
V165,0.29
V166,0.24
V167,0.24
V168,0.4
V169,0.1
V170,0.88
V171,0.29
V172,0.38
V173,0.14
V174,0.08
V175,0.86
V176,0.4
V177,0.36
V178,0.37
V179,0.38
V180,0.14
V181,0.34
V182,0.07
V183,0.17
V184,0.14
V185,0.08
V186,0.31
V187,0.13
V188,0.86
V189,0.87
V190,0.9
V191,0.37
V192,0.12
V193,0.38
V194,0.38
V195,0.26
V196,0.88
V197,0.24
V198,0.23
V199,0.28
V200,0.33
V201,0.37
V202,0.35
V203,0.35
V204,0.24
V205,0.14
V206,0.38
V207,0.32
V208,0.17
V209,0.38
V210,0.26
V211,0.35
V212,0.25
V213,0.11
V214,0.26
V215,0.24
V216,0.38
V217,0.07
V218,0.12
V219,0.17
V220,0.28
V221,0.23
V222,0.33
V223,0.86
V224,0.19
V225,0.35
V226,0.84
V227,0.07
V228,0.19
V229,0.37
V230,0.4
V231,0.38
V232,0.13
V233,0.92
V234,0.39
V235,0.36
V236,0.85
V237,0.05
V238,0.36
V239,0.37
V240,0.37
V241,0.3
V242,0.34
V243,0.82
V244,0.2
V245,0.3
V246,0.26
V247,0.86
V248,0.3
V249,0.38
V250,0.17
V251,0.17
V252,0.29
V253,0.87
V254,0.37
V255,0.86
V256,0.05
V257,0.39
V258,0.33
V259,0.37
V260,0.32
V261,0.34
V262,0.39
V263,0.26
V264,0.28
V265,0.4
V266,0.25
V267,0.25
V268,0.36
V269,0.27
V270,0.84
V271,0.15
V272,0.29
V273,0.37
V274,0.27
V275,0.2
V276,0.33
V277,0.29
V278,0.92
V279,0.49
V280,0.25
V281,0.23
V282,0.04
V283,0.92
V284,0.39
V285,0.08
V286,0.15
V287,0.2
V288,0.35
V289,0.4
V290,0.86
V291,0.33
V292,0.3
V293,0.25
V294,0.39
V295,0.28
V296,0.38
V297,0.2
V298,0.35
V299,0.17
V300,0.84
V301,0.22
V302,0.14
V303,0.32
V304,0.37
V305,0.28
V306,0.23
V307,0.02
V308,0.32
V309,0.03
V310,0.27
V311,0.31
V312,0.36
V313,0.18
V314,0.08
V315,0.78
V316,0.32
V317,0.31
V318,0.38
V319,0.24
V320,0.38
V321,0.28
V322,0.38
V323,0.35
V324,0.02
V325,0.86
V326,0.21
V327,0.89
V328,0.26
V329,0.14
V330,0.26
V331,0.38
V332,0.86
V333,0.05
V334,0.35
V335,0.38
V336,0.35
V337,0.38
V338,0.4
V339,0.38
V340,0.17
V341,0.27
V342,0.38
V343,0.18
V344,0.32
V345,0.23
V346,0.18
V347,0.29
V348,0.4
V349,0.15
V350,0.96
V351,0.29
V352,0.31
V353,0.4
V354,0.27
V355,0.39
V356,0.37
V357,0.08
V358,0.35
V359,0.32
V360,0.3
V361,0.39
V362,0.26
V363,0.29
V364,0.28
V365,0.39
V366,0.26
V367,0.39
V368,0.37
V369,0.39
V370,0.36
V371,0.2
V372,0.21
V373,0.32
V374,0.26
V375,0.2
V376,0.36
V377,0.14
V378,0.25
V379,0.2
V380,0.28
V381,0.87
V382,0.86
V383,0.84
V384,0.25
V385,0.07
V386,0.28
V387,0.35
V388,0.35
V389,0.38
V390,0.33
V391,0.07
V392,0.31
V393,0.35
V394,0.26
V395,0.31
V396,0.4
V397,0.11
V398,0.29
V399,0.86
V400,0.34
V401,0.11
V402,0.32
V403,0.38
V404,0.86
V405,0.36
V406,0.24
V407,0.37
V408,0.38
V409,0.35
V410,0.11
V411,0.37
V412,0.22
V413,0.32
V414,0.36
V415,0.35
V416,0.35
V417,0.89
V418,0.39
V419,0.4
V420,0.92
V421,0.06
V422,0.02
V423,0.36
V424,0.2
V425,0.3
V426,0.45
V427,0.2
V428,0.97
V429,0.34
V430,0.23
V431,0.17
V432,0.32
V433,0.34
V434,0.36
V435,0.17
V436,0.36
V437,0.3
V438,0.14
V439,0.36
V440,0.24
V441,0.35
V442,0.35
V443,0.3
V444,0.36
V445,0.03
V446,0.25
V447,0.29
V448,0.29
V449,0.96
V450,0.85
V451,0.31
V452,0.11
V453,0.34
V454,0.24
V455,0.29
V456,0.31
V457,0.85
V458,0.38
V459,0.24
V460,0.32
V461,0.32
V462,0.92
V463,0.35
V464,0.36
V465,0.29
V466,0.23
V467,0.17
V468,0.31
V469,0.08
V470,0.4
V471,0.11
V472,0.13
V473,0.2
V474,0.38
V475,0.4
V476,0.89
V477,0.38
V478,0.86
V479,0.38
V480,0.88
V481,0.37
V482,0.21
V483,0.38
V484,0.1
V485,0.33
V486,0.33
V487,0.15
V488,0.21
V489,0.12
V490,0.17
V491,0.2
V492,0.25
V493,0.35
V494,0.39
V495,0.38
V496,0.27
V497,0.28
V498,0.35
V499,0.38
V500,0.38
V501,0.15
V502,0.86
V503,0.23
V504,0.32
V505,0.33
V506,0.17
V507,0.26
V508,0.12
V509,0.06
V510,0.38
V511,0.26
V512,0.22
V513,0.4
V514,0.18
V515,0.23
V516,0.35
V517,0.37
V518,0.2
V519,0.11
V520,0.07
V521,0.38
V522,0.38
V523,0.23
V524,0.39
V525,0.36
V526,0.05
V527,0.35
V528,0.89
V529,0.25
V530,0.34
V531,0.2
V532,0.23
V533,0.4
V534,0.32
V535,0.38
V536,0.38
V537,0.26
V538,0.35
V539,0.25
V540,0.12
V541,0.38
V542,0.34
V543,0.15
V544,0.33
V545,0.29
V546,0.33
V547,0.84
V548,0.1
V549,0.37
V550,0.39
V551,0.35
V552,0.36
V553,0.4
V554,0.18
V555,0.35
V556,0.32
V557,0.38
V558,0.14
V559,0.38
V560,0.33
V561,0.2
V562,0.86
V563,0.36
V564,0.23
V565,0.27
V566,0.34
V567,0.35
V568,0.17
V569,0.21
V570,0.33
V571,0.29
V572,0.08
V573,0.89
V574,0.1
V575,0.35
V576,0.34
V577,0.25
V578,0.29
V579,0.99
V580,0.37
V581,0.88
V582,0.37
V583,0.8
V584,0.31
V585,0.24
V586,0.18
V587,0.27
V588,0.22
V589,0.31
V590,0.25
V591,0.05
V592,0.35
V593,0.35
V594,0.09
V595,0.05
V596,0.47
V597,0.31
V598,0.86
V599,0.3
V600,0.15
V601,0.33
V602,0.4
V603,0.2
V604,0.27
V605,0.14
V606,0.3
V607,0.88
V608,0.86
V609,0.32
V610,0.35
V611,0.2
V612,0.23
V613,0.18
V614,0.33
V615,0.27
V616,0.38
V617,0.28
V618,0.31
V619,0.36
V620,0.04
V621,0.12
V622,0.19
V623,0.2
V624,0.05
V625,0.33
V626,0.17
V627,0.39
V628,0.34
V629,0.38
V630,0.32
V631,0.3
V632,0.29
V633,0.4
V634,0.32
V635,0.38
V636,0.34
V637,0.17
V638,0.37
V639,0.33
V640,0.36
V641,0.33
V642,0.3
V643,0.08
V644,0.3
V645,0.4
V646,0.32
V647,0.37
V648,0.39
V649,0.26
V650,0.17
V651,0.33
V652,0.35
V653,0.38
V654,0.23
V655,0.38
V656,0.39
V657,0.2
V658,0.26
V659,0.32
V660,0.22
V661,0.17
V662,0.91
V663,0.22
V664,0.24
V665,0.18
V666,0.2
V667,0.32
V668,0.38
V669,0.89
V670,0.21
V671,0.15
V672,0.38
V673,0.3
V674,0.22
V675,0.38
V676,0.27
V677,0.36
V678,0.28
V679,0.35
V680,0.34
V681,0.32
V682,0.33
V683,0.17
V684,0.12
V685,0.14
V686,0.35
V687,0.86
V688,0.26
V689,0.31
V690,0.12
V691,0.85
V692,0.06
V693,0.21
V694,0.3
V695,0.17
V696,0.95
V697,0.39
V698,0.86
V699,0.08
V700,0.34
V701,0.23
V702,0.43
V703,0.12
V704,0.11
V705,0.21
V706,0.84
V707,0.17
V708,0.28
V709,0.26
V710,0.23
V711,0.12
V712,0.25
V713,0.32
V714,0.41
V715,0.32
V716,0.26
V717,0.12
V718,0.38
V719,0.86
V720,0.35
V721,0.32
V722,0.89
V723,0.28
V724,0.32
V725,0.33
V726,0.37
V727,0.36
V728,0.14
V729,0.08
V730,0.86
V731,0.23
V732,0.29
V733,0.86
V734,0.38
V735,0.23
V736,0.38
V737,0.34
V738,0.04
V739,0.3
V740,0.23
V741,0.4
V742,0.26
V743,0.2
V744,0.27
V745,0.32
V746,0.35
V747,0.19
V748,0.4
V749,0.39
V750,0.31
V751,0.09
V752,0.34
V753,0.8
V754,0.4
V755,0.8
V756,0.19
V757,0.29
V758,0.08
V759,0.21
V760,0.33
V761,0.18
V762,0.35
V763,0.04
V764,0.38
V765,0.29
V766,0.32
V767,0.38
V768,0.51
V769,0.17
V770,0.23
V771,0.35
V772,0.29
V773,0.32
V774,0.37
V775,0.23
V776,0.23
V777,0.32
V778,0.35
V779,0.2
V780,0.08
V781,0.35
V782,0.2
V783,0.84
V784,0.19
V785,0.17
V786,0.4
V787,0.39
V788,0.84
V789,0.38
V790,0.36
V791,0.9
V792,0.3
V793,0.21
V794,0.38
V795,0.32
V796,0.35
V797,0.02
V798,0.36
V799,0.88
V800,0.26
V801,0.39
V802,0.2
V803,0.2
V804,0.34
V805,0.26
V806,0.96
V807,0.3
V808,0.36
V809,0.32
V810,0.37
V811,0.38
V812,0.38
V813,0.3
V814,0.19
V815,0.26
V816,0.26
V817,0.92
V818,0.85
V819,0.35
V820,0.38
V821,0.29
V822,0.3
V823,0.39
V824,0.36
V825,0.02
V826,0.27
V827,0.28
V828,0.4
V829,0.4
V830,0.13
V831,0.29
V832,0.89
V833,0.39
V834,0.2
V835,0.17
V836,0.35
V837,0.03
V838,0.32
V839,0.32
V840,0.35
V841,0.23
V842,0.13
V843,0.38
V844,0.39
V845,0.28
V846,0.34
V847,0.65
V848,0.38
V849,0.35
V850,0.39
V851,0.34
V852,0.38
V853,0.27
V854,0.14
V855,0.29
V856,0.85
V857,0.11
V858,0.37
V859,0.34
V860,0.42
V861,0.37
V862,0.31
V863,0.4
V864,0.13
V865,0.05
V866,0.28
V867,0.2
V868,0.37
V869,0.85
V870,0.35
V871,0.85
V872,0.22
V873,0.93
V874,0.29
V875,0.35
V876,0.26
V877,0.34
V878,0.84
V879,0.88
V880,0.4
V881,0.38
V882,0.28
V883,0.34
V884,0.38
V885,0.97
V886,0.38
V887,0.19
V888,0.26
V889,0.36
V890,0.11
V891,0.23
V892,0.38
V893,0.9
V894,0.17
V895,0.23
V896,0.17
V897,0.28
V898,0.32
V899,0.14
V900,0.39
V901,0.39
V902,0.23
V903,0.37
V904,0.08
V905,0.22
V906,0.23
V907,0.28
V908,0.37
V909,0.3
V910,0.38
V911,0.21
V912,0.32
V913,0.38
V914,0.23
V915,0.26
V916,0.3
V917,0.4
V918,0.26
V919,0.29
V920,0.38
V921,0.35
V922,0.35
V923,0.3
V924,0.29
V925,0.38
V926,0.38
V927,0.02
V928,0.32
V929,0.2
V930,0.29
V931,0.38
V932,0.35
V933,0.07
V934,0.39
V935,0.26
V936,0.32
V937,0.86
V938,0.28
V939,0.84
V940,0.31
V941,0.18
V942,0.25
V943,0.38
V944,0.28
V945,0.21
V946,0.16
V947,0.36
V948,0.05
V949,0.23
V950,0.38
V951,0.08
V952,0.25
V953,0.1
V954,0.06
V955,0.27
V956,0.39
V957,0.32
V958,0.32
V959,0.85
V960,0.15
V961,0.14
V962,0.35
V963,0.21
V964,0.26
V965,0.31
V966,0.32
V967,0.36
V968,0.21
V969,0.11
V970,0.32
V971,0.23
V972,0.85
V973,0.14
V974,0.37
V975,0.24
V976,0.35
V977,0.29
V978,0.38
V979,0.37
V980,0.84
V981,0.41
V982,0.18
V983,0.17
V984,0.39
V985,0.38
V986,0.38
V987,0.38
V988,0.4
V989,0.35
V990,0.35
V991,0.09
V992,0.29
V993,0.4
V994,0.4
V995,0.32
V996,0.35
V997,0.38
V998,0.27
V999,0.27
V1000,0.35
V1001,0.26
V1002,0.88
V1003,0.35
V1004,0.08
V1005,0.35
V1006,0.31
V1007,0.4
V1008,0.38
V1009,0.32
V1010,0.16
V1011,0.24
V1012,0.15
V1013,0.31
V1014,0.28
V1015,0.32
V1016,0.37
V1017,0.31
V1018,0.2
V1019,0.29
V1020,0.37
V1021,0.95
V1022,0.32
V1023,0.29
V1024,0.25
V1025,0.32
V1026,0.4
V1027,0.26
V1028,0.86
V1029,0.34
V1030,0.86
V1031,0.32
V1032,0.32
V1033,0.38
V1034,0.35
V1035,0.86
V1036,0.84
V1037,0.39
V1038,0.36
V1039,0.29
V1040,0.37
V1041,0.34
V1042,0.13
V1043,0.32
V1044,0.84
V1045,0.91
V1046,0.26
V1047,0.35
V1048,0.4
V1049,0.27
V1050,0.32
V1051,0.94
V1052,0.08
V1053,0.35
V1054,0.34
V1055,0.33
V1056,0.35
V1057,0.35
V1058,0.37
V1059,0.85
V1060,0.33
V1061,0.32
V1062,0.33
V1063,0.24
V1064,0.29
V1065,0.35
V1066,0.39
V1067,0.27
V1068,0.4
V1069,0.39
V1070,0.3
V1071,0.37
V1072,0.23
V1073,0.07
V1074,0.32
V1075,0.35
V1076,0.32
V1077,0.1
V1078,0.37
V1079,0.39
V1080,0.19
V1081,0.3
V1082,0.4
