SNP,miss_prop
V2,0.38
V3,0.25
V4,0.2
V5,0.3
V6,0.38
V7,0.3
V8,0.08
V9,0.4
V10,0.35
V11,0.35
V12,0
V13,0.28
V14,0.18
V15,0.18
V16,0.35
V17,0.4
V18,0.38
V19,0.4
V20,0.57
V21,0.35
V22,0.4
V23,0.4
V24,0.22
V25,0.05
V26,0.22
V27,0.38
V28,0.32
V29,0.28
V30,0.3
V31,0.15
V32,0.25
V33,0.08
V34,0.4
V35,0.4
V36,0.4
V37,0.35
V38,0.4
V39,0.35
V40,0.38
V41,0.4
V42,0.4
V43,0.38
V44,0.35
V45,0.02
V46,0.35
V47,0.3
V48,0.38
V49,0.32
V50,0.18
V51,0.35
V52,0.2
V53,0.25
V54,0.3
V55,0.15
V56,0.4
V57,0.28
V58,0.15
V59,0.15
V60,0.4
V61,0.38
V62,0.25
V63,0.32
V64,0.02
V65,0.38
V66,0.38
V67,0.4
V68,0.22
V69,0.18
V70,0.1
V71,0.4
V72,0.1
V73,0.28
V74,0.12
V75,0.28
V76,0.2
V77,0.1
V78,0.05
V79,0.35
V80,0.4
V81,0.2
V82,0.38
V83,0.28
V84,0.4
V85,0.38
V86,0.28
V87,0.18
V88,0.25
V89,0.4
V90,0.25
V91,0.2
V92,0.38
V93,0.3
V94,0.35
V95,0.02
V96,0.35
V97,0.32
V98,0.3
V99,0.32
V100,0.3
V101,0.35
V102,0.32
V103,0.1
V104,0.38
V105,0.42
V106,0.3
V107,0.22
V108,0.4
V109,0.25
V110,0
V111,0.18
V112,0.32
V113,0.4
V114,0.12
V115,0.38
V116,0.32
V117,0.4
V118,0.1
V119,0.4
V120,0.4
V121,0.15
V122,0.02
V123,0
V124,0.32
V125,0.2
V126,0.05
V127,0.38
V128,0.38
V129,0.25
V130,0.35
V131,0.3
V132,0.4
V133,0.08
V134,0.15
V135,0.98
V136,0.25
V137,0.18
V138,0.4
V139,0.08
V140,0.38
V141,0.22
V142,0.08
V143,0.4
V144,0.28
V145,0.32
V146,0.25
V147,0.32
V148,0.35
V149,0.35
V150,0.38
V151,0.35
V152,0.35
V153,0.28
V154,0.05
V155,0.05
V156,0.4
V157,0.3
V158,0.02
V159,0.32
V160,0.38
V161,0.08
V162,0.02
V163,0.38
V164,0.4
V165,0.12
V166,0.35
V167,0.35
V168,0.4
V169,0.12
V170,0.3
V171,0.2
V172,0.28
V173,0.05
V174,0.38
V175,0.25
V176,0.38
V177,0.9
V178,0.3
V179,0.32
V180,0.4
V181,0.2
V182,0.02
V183,0.3
V184,0.38
V185,0.35
V186,0.35
V187,0.28
V188,0.32
V189,0.38
V190,0.4
V191,0.3
V192,0.4
V193,0.35
V194,0.05
V195,0.4
V196,0.05
V197,0.25
V198,0.4
V199,0.32
V200,0.08
V201,0.38
V202,0.4
V203,0.32
V204,0.35
V205,0.15
V206,0.4
V207,0.38
V208,0.25
V209,0.1
V210,0.12
V211,0.4
V212,0.15
V213,0.28
V214,0.25
V215,0.2
V216,0.25
V217,0.12
V218,0.22
V219,0.12
V220,0.68
V221,0.15
V222,0.4
V223,0.1
V224,0.3
V225,0.3
V226,0.28
V227,0.12
V228,0.12
V229,0.35
V230,0.38
V231,0.35
V232,0.3
V233,0.32
V234,0.32
V235,0.72
V236,0.15
V237,0.3
V238,0.4
V239,0.38
V240,0.35
V241,0.22
V242,0.38
V243,0.08
V244,0.02
V245,0.18
V246,0.15
V247,0.18
V248,0.1
V249,0.4
V250,0.38
V251,0.22
V252,0.32
V253,0.22
V254,0.85
V255,0.32
V256,0.25
V257,0.38
V258,0.32
V259,0.25
V260,0.15
V261,0.3
V262,0.4
V263,0.3
V264,0
V265,0.18
V266,0.4
V267,0.35
V268,0.05
V269,0.38
V270,0.22
V271,0.4
V272,0.1
V273,0.57
V274,0.4
V275,0.38
V276,0.3
V277,0.28
V278,0.15
V279,0.12
V280,0.4
V281,0.3
V282,0.25
V283,0.15
V284,0.32
V285,0.32
V286,0.35
V287,0.4
V288,0.4
V289,0.4
V290,0.3
V291,0.3
V292,0.32
V293,0.4
V294,0.25
V295,0.32
V296,0.28
V297,0.35
V298,0.35
V299,0.2
V300,0.28
V301,0.4
V302,0.3
V303,0.2
V304,0.38
V305,0.25
V306,0.25
V307,0.25
V308,0.4
V309,0.28
V310,0.3
V311,0.12
V312,0.4
V313,0.2
V314,0.4
V315,0.4
V316,0.28
V317,0.3
V318,0.32
V319,0.38
V320,0.25
V321,0.18
V322,0.28
V323,0.2
V324,0.3
V325,0.32
V326,0.25
V327,0.85
V328,0.2
V329,0.25
V330,0.4
V331,0.1
V332,0.4
V333,0.1
V334,0.38
V335,0.3
V336,0.38
V337,0.28
V338,0.3
V339,0.22
V340,0.4
V341,0.25
V342,0.4
V343,0.28
V344,0
V345,0.2
V346,0.38
V347,0.28
V348,0.4
V349,0.2
V350,0.4
V351,0.22
V352,0.38
V353,0.4
V354,0.28
V355,0.2
V356,0.22
V357,0.15
V358,0.22
V359,0.3
V360,0.35
V361,0.38
V362,0.82
V363,0
V364,0.12
V365,0.05
V366,0.9
V367,0.4
V368,0.4
V369,0.22
V370,0.38
V371,0.28
V372,0.4
V373,0.4
V374,0.25
V375,0.28
V376,0.28
V377,0.28
V378,0.3
V379,0.4
V380,0.32
V381,0.3
V382,0.4
V383,0.38
V384,0.2
V385,0.3
V386,0.15
V387,0.25
V388,0.22
V389,0.35
V390,0.22
V391,0.35
V392,0.3
V393,0.38
V394,0.35
V395,0.35
V396,0.1
V397,0.3
V398,0.32
V399,0.4
V400,0.22
V401,0.1
V402,0.15
V403,0.1
V404,0.4
V405,0.32
V406,0.3
V407,0.3
V408,0.25
V409,0.4
V410,0.15
V411,0.05
V412,0.02
V413,0.4
V414,0.32
V415,0.2
V416,0.22
V417,0.35
V418,0.38
V419,0.35
V420,0.25
V421,0.1
V422,0.3
V423,0.28
V424,0.4
V425,0.35
V426,0.35
V427,0.32
V428,0.05
V429,0.35
V430,0.38
V431,0.25
V432,0.38
V433,0.25
V434,0.32
V435,0.35
V436,0.38
V437,0.35
V438,0.08
V439,0.08
V440,0.3
V441,0.28
V442,0.1
V443,0.08
V444,0.38
V445,0.18
V446,0.18
V447,0.2
V448,0.38
V449,0.3
V450,0.32
V451,0.3
V452,0.3
V453,0.18
V454,0.18
V455,0.28
V456,0.12
V457,0.4
V458,0.32
V459,0.25
V460,0.05
V461,0.25
V462,0.28
V463,0.38
V464,0.32
V465,0.4
V466,0.25
V467,0.22
V468,0.28
V469,0.3
V470,0.2
V471,0.25
V472,0.38
V473,0.05
V474,0.28
V475,0.25
V476,0.3
V477,0.12
V478,0.32
V479,0.08
V480,0.1
V481,0.22
V482,0.38
V483,0.4
V484,0.22
V485,0.4
V486,0.3
V487,0.32
V488,0.38
V489,0.35
V490,0.22
V491,0.02
V492,0.25
V493,0.4
V494,0.32
V495,0.4
V496,0.38
V497,0.22
V498,0.32
V499,0.3
V500,0.35
V501,0.38
V502,0.3
V503,0.3
V504,0.35
V505,0.4
V506,0.32
V507,0.28
V508,0.35
V509,0.4
V510,0.3
V511,0.18
V512,0.12
V513,0.28
V514,0.15
V515,0.3
V516,0.22
V517,0.2
V518,0.35
V519,0.3
V520,0.38
V521,0.35
V522,0.25
V523,0.4
V524,0.15
V525,0.28
V526,0.35
V527,0.12
V528,0.28
V529,0.08
V530,0.35
V531,0.38
V532,0
V533,0
V534,0.4
V535,0.02
V536,0.28
V537,0.18
V538,0.32
V539,0.08
V540,0.28
V541,0.38
V542,0.02
V543,0.2
V544,0.2
V545,0.4
V546,0.35
V547,0.4
V548,0.3
V549,0.2
V550,0.38
V551,0.4
V552,0.02
V553,0.15
V554,0.25
V555,0.22
V556,0.4
V557,0.22
V558,0.1
V559,0.3
V560,0.38
V561,0.38
V562,0.3
V563,0.1
V564,0.38
V565,0.3
V566,0.25
V567,0.38
V568,0.32
V569,0.2
V570,0.28
V571,0.32
V572,0.22
V573,0.05
V574,0.35
V575,0.32
V576,0.28
V577,0.05
V578,0.35
V579,0.4
V580,0.3
V581,0.32
V582,0.4
V583,0.4
V584,0.38
V585,0.25
V586,0.25
V587,0.22
V588,0.38
V589,0.15
V590,0.3
V591,0.32
V592,0.4
V593,0.38
V594,0.25
V595,0.25
V596,0.28
V597,0.2
V598,0.38
V599,0.28
V600,0.3
V601,0.3
V602,0.12
V603,0.28
V604,0.4
V605,0.3
V606,0.4
V607,0.32
V608,0.15
V609,0.4
V610,0.4
V611,0.12
V612,0.4
V613,0.38
V614,0.32
V615,0.4
V616,0.38
V617,0.22
V618,0.4
V619,0.4
V620,0.32
V621,0.4
V622,0.25
V623,0.22
V624,0.32
V625,0.32
V626,0.4
V627,0.1
V628,0.18
V629,0.1
V630,0.22
V631,0.35
V632,0.4
V633,0.3
V634,0.22
V635,0.2
V636,0.35
V637,0.28
V638,0.38
V639,0.18
V640,0.28
V641,0.18
V642,0.38
V643,0.32
V644,0.22
V645,0.38
V646,0.4
V647,0.02
V648,0.2
V649,0.18
V650,0.28
V651,0.3
V652,0.2
V653,0.42
V654,0.4
V655,0.1
V656,0.4
V657,0.35
V658,0.2
V659,0.38
V660,0.12
V661,0.4
V662,0.1
V663,0.3
V664,0.25
V665,0.05
V666,0.02
V667,0.35
V668,0.25
V669,0.4
V670,0.28
V671,0.35
V672,0.1
V673,0.4
V674,0.3
V675,0.12
V676,0.28
V677,0.22
V678,0.1
V679,0.32
V680,0.32
V681,0.38
V682,0.18
V683,0.28
V684,0.22
V685,0.28
V686,0.35
V687,0.08
V688,0.3
V689,0.22
V690,0.22
V691,0.35
V692,0.2
V693,0.05
V694,0.3
V695,0.15
V696,0.32
V697,0.12
V698,0.4
V699,0.08
V700,0.45
V701,0.32
V702,0.2
V703,0.32
V704,0.15
V705,0.35
V706,0.3
V707,0.28
V708,0.12
V709,0.15
V710,0.35
V711,0.4
V712,0.15
V713,0.38
V714,0.4
V715,0.15
V716,0.2
V717,0.22
V718,0.15
V719,0.45
V720,0.32
V721,0.35
V722,0.28
V723,0.35
V724,0.4
V725,0.4
V726,0.22
V727,0.3
V728,0.38
V729,0.18
V730,0.32
V731,0.3
V732,0.18
V733,0.2
V734,0.2
V735,0.22
V736,0.9
V737,0.4
V738,0.22
V739,0.3
V740,0.4
V741,0.2
V742,0.3
V743,0.4
V744,0.38
V745,0.3
V746,0.32
V747,0.32
V748,0.38
V749,0.4
V750,0.22
V751,0.2
V752,0.38
V753,0.18
V754,0.18
V755,0.38
V756,0.4
V757,0.35
V758,0.4
V759,0.4
V760,0.4
V761,0.05
V762,0.32
V763,0.08
V764,0.15
V765,0.32
V766,0.32
V767,0.4
V768,0.22
V769,0.4
V770,0.15
V771,0.25
V772,0.22
V773,0.4
V774,0.3
V775,0.32
V776,0.35
V777,0.4
V778,0.4
V779,0.3
V780,0.32
V781,0.38
V782,0.4
V783,0.2
V784,0.2
V785,0.25
V786,0.28
V787,0.25
V788,0.2
V789,0.05
V790,0.18
V791,0.25
V792,0.3
V793,0.32
V794,0.35
V795,0.28
V796,0.4
V797,0.35
V798,0.4
V799,0.3
V800,0.4
V801,0.12
V802,0.18
V803,0.25
V804,0.02
V805,0.12
V806,0.38
V807,0.28
V808,0.35
V809,0.22
V810,0.25
V811,0.35
V812,0.38
V813,0.3
V814,0.35
V815,0.2
V816,0.82
V817,0.3
V818,0.4
V819,0.02
V820,0.05
V821,0.28
V822,0.3
V823,0.28
V824,0.12
V825,0.15
V826,0.42
V827,0.12
V828,0.4
V829,0.32
V830,0.4
V831,0.3
V832,0.42
V833,0.3
V834,0.05
V835,0.38
V836,0.4
V837,0.35
V838,0.35
V839,0.3
V840,0.18
V841,0.3
V842,0.28
V843,0.38
V844,0.18
V845,0.25
V846,0.38
V847,0.22
V848,0.38
V849,0.9
V850,0.22
V851,0.15
V852,0.08
V853,0.22
V854,0.35
V855,0.18
V856,0.18
V857,0.32
V858,0.08
V859,0.22
V860,0.25
V861,0.4
V862,0.32
V863,0.35
V864,0.3
V865,0.4
V866,0.22
V867,0.15
V868,0.52
V869,0.32
V870,0.38
V871,0.32
V872,0.38
V873,0.05
V874,0.2
V875,0.3
V876,0.25
V877,0.3
V878,0.2
V879,0.35
V880,0.4
V881,0.25
V882,0.22
V883,0.35
V884,0.08
V885,0.35
V886,0.02
V887,0.4
V888,0.32
V889,0.28
V890,0.4
V891,0.32
V892,0.25
V893,0.3
V894,0.4
V895,0.12
V896,0.12
V897,0.35
V898,0.15
V899,0.3
V900,0.12
V901,0.1
V902,0.28
V903,0.12
V904,0.38
V905,0.38
V906,0.25
