SNP,miss_prop
V2,0.3
V3,0.33
V4,0.3
V5,0.26
V6,0.26
V7,0.37
V8,0.04
V9,0.11
V10,0.07
V11,0.07
V12,0.22
V13,0.37
V14,0.07
V15,0.22
V16,0.37
V17,0.37
V18,0.3
V19,0.11
V20,0.07
V21,0.07
V22,0.37
V23,0.37
V24,0.3
V25,0.37
V26,0.3
V27,0.37
V28,0.22
V29,0.3
V30,0.11
V31,0.33
V32,0.37
V33,0.33
V34,0.33
V35,0.26
V36,0.26
V37,0.26
V38,0.04
V39,0.07
V40,0.37
V41,0.3
V42,0.15
V43,0.26
V44,0.04
V45,0.37
V46,0.3
V47,0.3
V48,0.26
V49,0.7
V50,0.15
V51,0
V52,0.37
V53,0
V54,0
V55,0.07
V56,0.22
V57,0.26
V58,0.41
V59,0.33
V60,0.37
V61,0.3
V62,0.11
V63,0.33
V64,0.19
V65,0.33
V66,0.07
V67,0.22
V68,0.15
V69,0.3
V70,0.26
V71,0.3
V72,0.19
V73,0.22
V74,0.33
V75,0.3
V76,0.22
V77,0.37
V78,0.15
V79,0.07
V80,0.37
V81,0.3
V82,0.26
V83,0.26
V84,0.07
V85,0.26
V86,0.37
V87,0.3
V88,0.11
V89,0.37
V90,0.26
V91,0.33
V92,0.37
V93,0.37
V94,0.33
V95,0.26
V96,0.33
V97,0.3
V98,0.3
V99,0.15
V100,0.26
V101,0.41
V102,0.37
V103,0.3
V104,0.37
V105,0.33
V106,0.26
V107,0.33
V108,0.33
V109,0.22
V110,0.22
V111,0.22
V112,0.3
V113,0.37
V114,0.37
V115,0.3
V116,0.33
V117,0.15
V118,0.11
V119,0.37
V120,0.26
V121,0.11
V122,0.37
V123,0.22
V124,0.22
V125,0.19
V126,0.3
V127,0.26
V128,0.19
V129,0.19
V130,0.33
V131,0.33
V132,0.04
V133,0.3
V134,0.37
V135,0.37
V136,0.37
V137,0.33
V138,0.22
V139,0.37
V140,0.11
V141,0.04
V142,0.15
V143,0.19
V144,0.22
V145,0.33
V146,0.11
V147,0.15
V148,0.26
V149,0.37
V150,0.19
V151,0.11
V152,0.19
V153,0.44
V154,0
V155,0.22
V156,0.33
V157,0.33
V158,0.26
V159,0.37
V160,0.33
V161,0.3
V162,0.19
V163,0.37
V164,0.3
V165,0.19
V166,0.33
V167,0.33
V168,0.3
V169,0.19
V170,0.3
V171,0.19
V172,0.22
V173,0.15
V174,0.33
V175,0.33
V176,0.15
V177,0.19
V178,0.37
V179,0.33
V180,0.33
V181,0.37
V182,0.37
V183,0.22
V184,0.26
V185,0.19
