SNP,miss_prop
V2,0.27
V3,0.09
V4,0.18
V5,0.18
V6,0.18
V7,0
V8,0.18
V9,0.36
V10,0.18
V11,0.27
V12,0.27
V13,0.27
V14,0.36
V15,0.18
V16,0.18
V17,0.18
V18,0.36
V19,0.27
V20,0.27
V21,0.27
V22,0.36
V23,0.18
V24,0
V25,0.18
V26,0.09
V27,0
V28,0.36
V29,0.09
V30,0
V31,0.36
V32,0.27
V33,0.27
V34,0.18
V35,0.09
V36,0.64
V37,0.27
V38,0.27
V39,0.36
V40,0.36
V41,0.36
V42,0.36
V43,0.09
V44,0.18
V45,0.36
V46,0.36
V47,0.27
V48,0.27
V49,0.36
V50,0.27
V51,0.36
V52,0.36
V53,0.27
V54,0.27
V55,0.09
V56,0.36
V57,0.36
V58,0.18
V59,0.18
V60,0.27
V61,0.36
V62,0
V63,0.45
V64,0.45
V65,0.18
V66,0.36
V67,0.36
V68,0.18
V69,0.18
V70,0.27
V71,0.36
V72,0.09
V73,0.09
V74,0.27
V75,0.09
V76,0.36
V77,0.09
V78,0.36
V79,0.27
V80,0.18
V81,0.09
V82,0
V83,0
V84,0
V85,0.09
V86,0
V87,0.36
V88,0
V89,0.36
V90,0
V91,0.27
V92,0.09
V93,0.09
V94,0.27
V95,0.09
V96,0.27
V97,0.27
V98,0.09
V99,0.18
V100,0.18
V101,0
V102,0.36
V103,0
V104,0.27
V105,0.27
V106,0.27
V107,0.09
V108,0.18
V109,0
V110,0.09
V111,0.09
V112,0.36
V113,0.18
V114,0.27
V115,0.27
V116,0.09
V117,0
V118,0.36
V119,0.18
V120,0.18
V121,0.18
V122,0.27
V123,0.09
V124,0.27
V125,0.36
V126,0.27
V127,0.36
V128,0.27
V129,0.18
V130,0.36
V131,0.27
V132,0.36
V133,0.27
V134,0.36
V135,0.27
V136,0.18
V137,0.36
V138,0.18
V139,0.09
V140,0.64
V141,0.36
V142,0.27
V143,0.18
V144,0.36
V145,0.09
V146,0.18
V147,0.18
V148,0.09
V149,0.18
V150,0.18
V151,0.27
V152,0.18
V153,0.36
V154,0.27
V155,0.27
V156,0.09
V157,0.27
V158,0.27
V159,0.27
V160,0
V161,0.36
V162,0.36
V163,0.36
V164,0.36
V165,0.27
V166,0.36
V167,0.36
V168,0.27
V169,0.27
V170,0
V171,0.36
V172,0.27
V173,0.09
V174,0.18
V175,0.36
V176,0.18
V177,0.36
V178,0.09
V179,0.36
V180,0.27
V181,0.36
V182,0
V183,0.09
V184,0.09
V185,0.27
V186,0
V187,0.36
V188,0.18
V189,0.18
V190,0.27
V191,0.36
V192,0.36
