SNP,miss_prop
V2,0.37
V3,0.4
V4,0.96
V5,0.81
V6,0.22
V7,0.08
V8,0.36
V9,0.05
V10,0.16
V11,0.23
V12,0.3
V13,0.81
V14,0.29
V15,0.88
V16,0.15
V17,0.04
V18,0.08
V19,0.29
V20,0.25
V21,0.41
V22,0.15
V23,0.86
V24,0.08
V25,0.34
V26,0.33
V27,0.12
V28,0.08
V29,0.38
V30,0.26
V31,0.27
V32,0.4
V33,0.34
V34,0.18
V35,0.85
V36,0.14
V37,0.27
V38,0.23
V39,0.22
V40,0.34
V41,0.07
V42,0.79
V43,0.81
V44,0.37
V45,0.08
V46,0.33
V47,0.3
V48,0.08
V49,0.25
V50,0.15
V51,0.04
V52,0.14
V53,0.04
V54,0.37
V55,0.21
V56,0.22
V57,0.15
V58,0.27
V59,0.15
V60,0.95
V61,0.4
V62,0.18
V63,0.93
V64,0.88
V65,0.15
V66,0.03
V67,0.27
V68,0.16
V69,0.22
V70,0.81
V71,0.29
V72,0.07
V73,0.32
V74,0.37
V75,0.27
V76,0.12
V77,0.27
V78,0.23
V79,0.81
V80,0.29
V81,0.23
V82,0.11
V83,0.81
V84,0.21
V85,0.23
V86,0.26
V87,0.18
V88,0.4
V89,0.15
V90,0.32
V91,0.82
V92,0.37
V93,0.14
V94,0.18
V95,0.05
V96,0.03
V97,0.01
V98,0.21
V99,0.16
V100,0.4
V101,0.05
V102,0.19
V103,0.29
V104,0.3
V105,0.29
V106,0.41
V107,0.38
V108,0.1
V109,0.19
V110,0.18
V111,0.81
V112,0.41
V113,0.29
V114,0.15
V115,0.78
V116,0.18
V117,0.4
V118,0.12
V119,0.29
V120,0.26
V121,0.37
V122,0.81
V123,0.27
V124,0.15
V125,0.4
V126,0.36
V127,0.4
V128,0.15
V129,0.11
V130,0.82
V131,0.33
V132,0.23
V133,0.37
V134,0.08
V135,0.16
V136,0.14
V137,0.12
V138,0.3
V139,0.36
V140,0.86
V141,0.04
V142,0.14
V143,0.38
V144,0.03
V145,0.38
V146,0.23
V147,0.11
V148,0.12
V149,0.07
V150,0.04
V151,0.12
V152,0.38
V153,0.26
V154,0.81
V155,0.14
V156,0.37
V157,0.08
V158,0.29
V159,0.29
V160,0.18
V161,0.79
V162,0.23
V163,0.27
V164,0.12
V165,0.75
V166,0.23
V167,0.14
V168,0.82
V169,0.18
V170,0.22
V171,0.37
V172,0.38
V173,0.38
V174,0.56
V175,0.37
V176,0.21
V177,0.37
V178,0.37
V179,0.97
V180,0.07
V181,0.88
V182,0.84
V183,0.27
V184,0.3
V185,0.88
V186,0.79
V187,0.11
V188,0.03
V189,0.26
V190,0.12
V191,0.82
V192,0.27
V193,0.15
V194,0.15
V195,0.22
V196,0.11
V197,0.03
V198,0.1
V199,0.18
V200,0.41
V201,0.38
V202,0.37
V203,0.16
V204,0.21
V205,0.1
V206,0.38
V207,0.04
V208,0.15
V209,0.07
V210,0.37
V211,0.18
V212,0.1
V213,0.88
V214,0.4
V215,0.81
V216,0.37
V217,0.37
V218,0.32
V219,0.4
V220,0.34
V221,0.27
V222,0.1
V223,0.14
V224,0.37
V225,0.07
V226,0.08
V227,0.36
V228,0.05
V229,0.03
V230,0.81
V231,0.33
V232,0.82
V233,0.36
V234,0.4
V235,0.18
V236,0.25
V237,0.03
V238,0.07
V239,0.26
V240,0.15
V241,0.07
V242,0.38
V243,0.23
V244,0.14
V245,0.3
V246,0.21
V247,0.21
V248,0.4
V249,0.05
V250,0.21
V251,0.23
V252,0.22
V253,0.15
V254,0.3
V255,0.12
V256,0.32
V257,0.82
V258,0.4
V259,0.19
V260,0.12
V261,0.1
V262,0.32
V263,0.37
V264,0.4
V265,0.1
V266,0.25
V267,0.88
V268,0.34
V269,0.15
V270,0.96
V271,0.29
V272,0.14
V273,0.25
V274,0.33
V275,0.23
V276,0.25
V277,0.79
V278,0.18
V279,0.36
V280,0.27
V281,0.25
V282,0.15
V283,0.32
V284,0.03
V285,0.27
V286,0.18
V287,0.37
V288,0.05
V289,0.3
V290,0.23
V291,0.21
V292,0.38
V293,0.22
V294,0.11
V295,0.15
V296,0.32
V297,0.78
V298,0.32
V299,0.86
V300,0.16
V301,0.15
V302,0.19
V303,0.81
V304,0.34
V305,0.3
V306,0.15
V307,0.33
V308,0.11
V309,0.11
V310,0.23
V311,0.37
V312,0.37
V313,0.03
V314,0.07
V315,0.25
V316,0.19
V317,0.23
V318,0.32
V319,0.29
V320,0.03
V321,0.4
V322,0.11
V323,0.79
V324,0.81
V325,0.34
V326,0.22
V327,0.37
V328,0.19
V329,0.22
V330,0.08
V331,0.85
V332,0.38
V333,0.27
V334,0.4
V335,0.26
V336,0.03
V337,0.81
V338,0.34
V339,0.01
V340,0.36
V341,0.12
V342,0.21
V343,0.08
V344,0.11
V345,0.04
V346,0.88
V347,0.33
V348,0.26
V349,0.7
V350,0.33
V351,0.32
V352,0.27
V353,0.45
V354,0.14
V355,0.25
V356,0.08
V357,0.29
V358,0.37
V359,0.34
V360,0.23
V361,0.16
V362,0.84
V363,0.19
V364,0.21
V365,0.82
V366,0.04
V367,0.38
V368,0.32
V369,0.82
V370,0.18
V371,0.36
V372,0.23
V373,0.32
V374,0.4
V375,0.12
V376,0.34
V377,0.79
V378,0.12
V379,0.04
V380,0.29
V381,0.79
V382,0.26
V383,0.38
V384,0.23
V385,0.05
V386,0.84
V387,0.3
V388,0.22
V389,0.73
V390,0.22
V391,0.42
V392,0.16
V393,0.36
V394,0.22
V395,0.07
V396,0.03
V397,0.22
V398,0.08
V399,0.26
V400,0.15
V401,0.41
V402,0.34
V403,0.18
V404,0.08
V405,0.29
V406,0.81
V407,0.21
V408,0.05
V409,0.1
V410,0.23
V411,0.08
V412,0.21
V413,0.04
V414,0.32
V415,0.38
V416,0.05
V417,0.18
V418,0.38
V419,0.18
V420,0.23
V421,0.1
V422,0.33
V423,0.22
V424,0.1
V425,0.34
V426,0.19
V427,0.67
V428,0.22
V429,0.15
V430,0.14
V431,0.12
V432,0.18
V433,0.33
V434,0.37
V435,0.74
V436,0.29
V437,0.79
V438,0.26
V439,0.03
V440,0.22
V441,0.11
V442,0.05
V443,0.26
V444,0.16
V445,0.81
V446,0.27
V447,0.25
V448,0.07
V449,0.11
V450,0.16
V451,0.19
V452,0.12
V453,0.27
V454,0.29
V455,0.86
V456,0.38
V457,0.1
V458,0.18
V459,0.37
V460,0.03
V461,0.33
V462,0.27
V463,0.22
V464,0.23
V465,0.18
V466,0.38
V467,0.19
V468,0.14
V469,0.23
V470,0.11
V471,0.22
V472,0.23
V473,0.26
V474,0.08
V475,0.33
V476,0.25
V477,0.33
V478,0.12
V479,0.32
V480,0.14
V481,0.4
V482,0.12
V483,0.79
V484,0.15
V485,0.27
V486,0.25
V487,0.82
V488,0.27
V489,0.4
V490,0.41
V491,0.23
V492,0.66
V493,0.23
V494,0.23
V495,0.81
V496,0.14
V497,0.4
V498,0.85
V499,0.11
V500,0.1
V501,0.33
V502,0.3
V503,0.1
V504,0.07
V505,0.21
V506,0.79
V507,0.4
V508,0.04
V509,0.22
V510,0.25
V511,0.79
V512,0.34
V513,0.32
V514,0.33
V515,0.1
V516,0.78
V517,0.38
V518,0.27
V519,0.05
V520,0.4
V521,0.27
V522,0.04
V523,0.33
V524,0.18
V525,0.04
V526,0.22
V527,0.33
V528,0.25
V529,0.03
V530,0.18
V531,0.32
V532,0.04
V533,0.21
V534,0.15
V535,0.32
V536,0.15
V537,0.12
V538,0.38
V539,0.9
V540,0.38
V541,0.11
V542,0.18
V543,0.37
V544,0.34
V545,0.11
V546,0.3
V547,0.18
V548,0.15
V549,0.08
V550,0.25
V551,0.15
V552,0.04
V553,0.15
V554,0.97
V555,0.19
V556,0.29
V557,0.14
V558,0.1
V559,0.29
V560,0.86
V561,0.1
V562,0.1
V563,0.04
V564,0.32
V565,0.38
V566,0.82
V567,0.14
V568,0.11
V569,0.81
V570,0.3
V571,0.36
V572,0.11
V573,0.81
V574,0.41
V575,0.12
V576,0.07
V577,0.34
V578,0.86
V579,0.27
V580,0.4
V581,0.14
V582,0.16
V583,0.29
V584,0.34
V585,0.38
V586,0.22
V587,0.4
V588,0.78
V589,0.81
V590,0.4
V591,0.18
V592,0.36
V593,0.25
V594,0.79
V595,0.79
V596,0.29
V597,0.07
V598,0.84
V599,0.12
V600,0.04
V601,0.04
V602,0.3
V603,0.21
V604,0.33
V605,0.38
V606,0.99
V607,0.21
V608,0.37
V609,0.79
V610,0.4
V611,0.12
V612,0.45
V613,0.33
V614,0.11
V615,0.12
V616,0.88
V617,0.84
V618,0.18
V619,0.27
V620,0.18
V621,0.38
V622,0.1
V623,0.37
V624,0.37
V625,0.08
V626,0.08
V627,0.01
V628,0.12
V629,0.82
V630,0.12
V631,0.05
V632,0.81
V633,0.26
V634,0.16
V635,0.16
V636,0.11
V637,0.05
V638,0.4
V639,0.82
V640,0.79
V641,0.79
V642,0.37
V643,0.89
V644,0.79
V645,0.81
V646,0.4
V647,0.4
V648,0.36
V649,0.26
V650,0.33
V651,0.3
V652,0.04
V653,0.19
V654,0.3
V655,0.38
V656,0.08
V657,0.12
V658,0.34
V659,0.4
V660,0.38
V661,0.07
V662,0.32
V663,0.12
V664,0.12
V665,0.08
V666,0.37
V667,0.07
V668,0.26
V669,0.38
V670,0.08
V671,0.15
V672,0.16
V673,0.25
V674,0.36
V675,0.05
V676,0.12
V677,0.23
V678,0.15
V679,0.14
V680,0.08
V681,0.3
V682,0.12
V683,0.04
V684,0.12
V685,0.18
V686,0.37
V687,0.21
V688,0.05
V689,0.18
V690,0.03
V691,0.79
V692,0.19
V693,0.11
V694,0.37
V695,0.34
V696,0.1
V697,0.34
V698,0.08
V699,0.25
V700,0.22
V701,0.89
V702,0.23
V703,0.81
V704,0.29
V705,0.41
V706,0.11
V707,0.15
V708,0.19
V709,0.79
V710,0.1
V711,0.14
V712,0.01
V713,0.11
V714,0.08
V715,0.84
V716,0.86
V717,0.32
V718,0.27
V719,0.19
V720,0.88
V721,0.18
V722,0.14
V723,0.21
V724,0.18
V725,0.15
V726,0.81
V727,0.14
V728,0.33
V729,0.14
V730,0.27
V731,0.4
V732,0.08
V733,0.14
V734,0.07
V735,0.82
V736,0.22
V737,0.29
V738,0.44
V739,0.07
V740,0.22
V741,0.22
V742,0.23
V743,0.81
V744,0.12
V745,0.38
V746,0.36
V747,0.3
V748,0.3
V749,0.29
V750,0.12
V751,0.16
V752,0.4
V753,0.33
V754,0.26
V755,0.15
V756,0.38
V757,0.03
V758,0.89
V759,0.33
V760,0.29
V761,0.23
V762,0.36
V763,0.11
V764,0.19
V765,0.11
V766,0.82
V767,0.04
V768,0.15
V769,0.25
V770,0.29
V771,0.22
V772,0.1
V773,0.08
V774,0.4
V775,0.38
V776,0.85
V777,0.19
V778,0.38
V779,0.34
V780,0.14
V781,0.08
V782,0.32
V783,0.29
V784,0.29
V785,0.32
V786,0.1
V787,0.16
V788,0.14
V789,0.3
V790,0.19
V791,0.89
V792,0.21
V793,0.25
V794,0.79
V795,0.12
V796,0.41
V797,0.14
V798,0.29
V799,0.16
V800,0.34
V801,0.27
V802,0.34
V803,0.05
V804,0.4
V805,0.1
V806,0.37
V807,0.23
V808,0.27
V809,0.07
V810,0.15
V811,0.1
V812,0.11
V813,0.11
V814,0.33
V815,0.12
V816,0.19
V817,0.08
V818,0.1
V819,0.1
V820,0.32
V821,0.27
V822,0.08
V823,0
V824,0.4
V825,0.34
V826,0.3
V827,0.36
V828,0.26
V829,0.23
V830,0.1
V831,0.16
V832,0.07
V833,0.32
V834,0.07
V835,0.3
V836,0.23
V837,0.26
V838,0.79
V839,0.29
V840,0.21
V841,0.38
V842,0.41
V843,0.4
V844,0.16
V845,0.21
V846,0.12
V847,0.07
V848,0.04
V849,0.79
V850,0.34
V851,0.25
V852,0.01
V853,0.23
V854,0.11
V855,0.82
V856,0.37
V857,0.11
V858,0.18
V859,0.3
V860,0.84
V861,0.19
V862,0.82
V863,0.19
V864,0.29
V865,0.38
V866,0.79
V867,0.07
V868,0.33
V869,0.03
V870,0.38
V871,0.82
V872,0.14
V873,0.29
V874,0.33
V875,0.32
V876,0.15
V877,0.15
V878,0.25
V879,0.95
V880,0.11
V881,0.82
V882,0.32
V883,0.04
V884,0.08
V885,0.23
V886,0.81
V887,0.3
V888,0.23
V889,0.4
V890,0.34
V891,0.18
V892,0.25
V893,0.84
V894,0.81
V895,0.04
V896,0.08
V897,0.37
V898,0.19
V899,0.34
V900,0.38
V901,0.01
V902,0.79
V903,0.29
V904,0.08
V905,0.05
V906,0.26
V907,0.15
V908,0.32
V909,0.77
V910,0.08
V911,0.03
V912,0.25
V913,0.22
V914,0.12
V915,0.33
V916,0.21
V917,0.29
V918,0.33
V919,0.41
V920,0.96
V921,0.26
V922,0.86
V923,0.36
V924,0.27
V925,0.34
V926,0.25
V927,0.12
V928,0.01
V929,0.27
V930,0.33
V931,0.38
V932,0.33
V933,0.08
V934,0.86
V935,0.79
V936,0.26
V937,0.84
V938,0.04
V939,0.38
V940,0.16
V941,0.22
V942,0.23
V943,0.9
V944,0.03
V945,0.38
V946,0.07
V947,0.1
V948,0.81
V949,0.82
V950,0.23
V951,0.38
V952,0.03
V953,0.85
V954,0.97
V955,0.08
V956,0.22
V957,0.29
V958,0.27
V959,0.4
V960,0.34
V961,0.15
V962,0.19
V963,0.07
V964,0.34
V965,0.14
V966,0.18
V967,0.22
V968,0.32
V969,0.42
V970,0.1
V971,0.32
V972,0.25
V973,0.11
V974,0.25
V975,0.04
V976,0.22
V977,0.1
V978,0.25
V979,0.81
V980,0.14
V981,0.14
V982,0.34
V983,0.3
V984,0.37
V985,0.84
V986,0.4
V987,0.74
V988,0.14
V989,0.25
V990,0.4
V991,0.81
V992,0.15
V993,0.14
V994,0.19
V995,0.04
V996,0.16
V997,0.27
V998,0.08
V999,0.3
V1000,0.32
V1001,0.33
V1002,0.14
V1003,0.14
V1004,0.11
V1005,0.12
V1006,0.26
V1007,0.81
V1008,0.85
V1009,0.15
V1010,0.36
V1011,0.37
V1012,0.05
V1013,0.26
V1014,0.12
V1015,0.86
V1016,0.22
V1017,0.27
V1018,0.26
V1019,0.14
V1020,0.26
V1021,0.37
V1022,0.23
V1023,0.84
V1024,0.41
V1025,0.15
V1026,0.74
V1027,0.19
V1028,0.38
V1029,0.22
V1030,0.4
V1031,0.32
V1032,0.04
V1033,0.38
V1034,0.1
V1035,0.18
V1036,0.38
V1037,0.18
V1038,0.3
V1039,0.37
V1040,0.23
V1041,0.84
V1042,0.81
V1043,0.95
V1044,0.3
V1045,0.07
V1046,0.01
V1047,0.33
V1048,0.12
V1049,0.4
V1050,0.18
V1051,0.29
V1052,0.14
V1053,0.4
V1054,0.27
V1055,0.18
V1056,0.3
V1057,0.36
V1058,0.3
V1059,0.05
V1060,0.4
V1061,0.29
V1062,0.19
V1063,0.81
V1064,0.16
V1065,0.85
V1066,0.26
V1067,0.38
V1068,0.32
V1069,0.34
V1070,0.16
V1071,0.26
V1072,0.96
V1073,0.18
V1074,0.25
V1075,0.14
V1076,0.33
V1077,0.1
V1078,0.37
V1079,0.08
V1080,0.23
V1081,0.82
V1082,0.14
V1083,0.29
V1084,0.15
V1085,0.19
V1086,0.14
V1087,0.23
V1088,0.07
V1089,0.38
V1090,0.38
V1091,0.18
V1092,0.05
V1093,0.03
V1094,0.16
V1095,0.96
V1096,0.36
V1097,0.05
V1098,0.12
V1099,0.04
V1100,0.32
V1101,0.81
V1102,0.82
V1103,0.22
V1104,0.38
V1105,0.08
V1106,0.18
V1107,0.21
V1108,0.18
V1109,0.14
V1110,0.32
V1111,0.08
V1112,0.04
V1113,0.16
V1114,0.32
V1115,0.88
V1116,0.08
V1117,0.19
V1118,0.03
V1119,0.32
V1120,0.27
V1121,0.82
V1122,0.33
V1123,0.3
V1124,0.15
V1125,0.79
V1126,0.34
V1127,0.23
V1128,0.15
V1129,0.81
V1130,0.32
V1131,0.33
V1132,0.21
V1133,0.23
V1134,0.14
V1135,0.04
V1136,0.32
V1137,0.22
V1138,0.84
V1139,0.81
V1140,0.38
V1141,0.03
V1142,0.14
V1143,0.3
V1144,0.4
V1145,0.37
V1146,0.23
V1147,0.01
V1148,0.22
V1149,0.85
V1150,0.33
V1151,0.1
V1152,0.82
V1153,0.38
V1154,0.32
V1155,0.26
V1156,0.19
V1157,0.32
V1158,0.26
V1159,0.84
V1160,0.41
V1161,0.26
V1162,0.33
V1163,0.01
V1164,0.4
V1165,0.34
V1166,0.26
V1167,0.26
V1168,0.03
V1169,0.08
V1170,0.21
V1171,0.16
V1172,0.15
V1173,0.32
V1174,0.84
V1175,0.26
V1176,0.4
V1177,0.29
V1178,0.42
V1179,0.79
V1180,0.05
V1181,0.12
V1182,0.82
V1183,0.27
V1184,0.25
V1185,0.29
V1186,0.34
V1187,0.14
V1188,0.16
V1189,0.08
V1190,0.3
V1191,0.81
V1192,0.26
V1193,0.36
V1194,0.37
V1195,0.07
V1196,0.11
V1197,0.81
V1198,0.22
V1199,0.34
V1200,0.84
V1201,0.21
V1202,0.27
V1203,0.38
V1204,0.15
V1205,0.04
V1206,0.08
V1207,0.38
V1208,0.05
V1209,0.82
V1210,0.79
V1211,0.14
V1212,0.16
V1213,0.84
V1214,0.82
V1215,0.05
V1216,0.3
V1217,0.19
V1218,0.32
V1219,0.19
V1220,0.4
V1221,0.36
V1222,0.12
V1223,0.38
V1224,0.08
V1225,0.41
V1226,0.15
V1227,0.36
V1228,0.34
V1229,0.05
V1230,0.82
V1231,0.1
V1232,0.07
V1233,0.23
V1234,0.23
V1235,0.25
V1236,0.64
V1237,0.05
V1238,0.1
V1239,0.79
V1240,0.19
V1241,0.16
V1242,0.11
V1243,0.41
V1244,0.95
V1245,0.07
V1246,0.26
V1247,0.21
V1248,0.4
V1249,0.33
V1250,0.08
V1251,0.84
V1252,0.12
V1253,0.4
V1254,0.08
V1255,0.27
V1256,0.86
V1257,0.6
V1258,0.1
V1259,0.18
V1260,0.12
V1261,0.08
V1262,0.1
V1263,0.33
V1264,0.82
V1265,0.36
V1266,0.11
V1267,0.34
V1268,0.11
V1269,0.34
V1270,0.3
V1271,0.81
V1272,0.33
V1273,0.07
V1274,0.04
V1275,0.08
V1276,0.41
V1277,0.21
V1278,0.79
V1279,0.21
V1280,0.84
V1281,0.11
V1282,0.29
V1283,0.04
V1284,0.34
V1285,0.79
V1286,0.1
V1287,0.07
V1288,0.25
V1289,0.33
V1290,0.4
V1291,0.79
V1292,0.84
V1293,0.27
V1294,0.12
V1295,0.1
V1296,0.21
V1297,0.18
V1298,0.27
V1299,0.41
V1300,0.07
V1301,0.42
V1302,0.29
V1303,0.11
V1304,0.84
V1305,0.32
V1306,0.08
V1307,0.36
V1308,0.12
V1309,0.25
V1310,0.12
V1311,0.89
V1312,0.4
V1313,0.08
V1314,0
V1315,0.79
V1316,0.33
V1317,0.36
V1318,0.07
V1319,0.36
V1320,0.29
V1321,0.29
V1322,0.79
V1323,0.18
V1324,0.86
V1325,0.3
V1326,0.14
V1327,0.79
V1328,0.88
V1329,0.34
V1330,0.25
V1331,0.22
V1332,0.03
V1333,0.36
V1334,0.86
V1335,0.14
V1336,0.11
V1337,0.82
V1338,0.29
V1339,0.22
V1340,0.15
V1341,0.81
V1342,0.34
V1343,0.16
V1344,0.82
V1345,0.85
V1346,0.11
V1347,0.38
V1348,0.79
V1349,0.11
V1350,0.84
V1351,0.12
V1352,0.4
V1353,0.25
V1354,0.34
V1355,0.05
V1356,0.22
V1357,0.15
V1358,0.3
V1359,0.25
V1360,0.33
V1361,0.12
V1362,0.4
V1363,0.07
V1364,0.08
V1365,0.25
V1366,0.85
V1367,0.38
V1368,0.03
V1369,0.81
V1370,0.3
V1371,0.1
V1372,0.25
V1373,0.29
V1374,0.29
V1375,0.4
V1376,0.15
V1377,0.4
V1378,0.33
V1379,0.11
V1380,0.15
V1381,0.14
V1382,0.4
V1383,0.37
V1384,0.1
V1385,0.86
V1386,0.41
V1387,0.34
V1388,0.34
V1389,0.25
V1390,0.23
V1391,0.08
V1392,0.18
V1393,0.16
V1394,0.4
V1395,0.05
V1396,0.29
V1397,0.15
V1398,0.15
V1399,0.84
V1400,0.79
V1401,0.1
V1402,0.16
V1403,0.89
V1404,0.85
V1405,0.37
V1406,0.12
V1407,0.1
V1408,0.37
V1409,0.41
V1410,0.23
V1411,0.04
V1412,0.36
V1413,0.14
V1414,0.1
V1415,0.03
V1416,0.33
V1417,0.1
V1418,0.32
V1419,0.4
V1420,0.4
V1421,0.08
V1422,0.03
V1423,0.27
V1424,0.19
V1425,0.37
V1426,0.18
V1427,0.26
V1428,0.32
V1429,0.34
V1430,0.38
V1431,0.08
V1432,0.81
V1433,0.1
V1434,0.22
V1435,0.22
V1436,0.4
V1437,0.38
V1438,0.27
V1439,0.12
V1440,0.25
V1441,0.36
V1442,0.3
V1443,0.84
V1444,0.32
V1445,0.84
V1446,0.86
V1447,0.27
V1448,0.33
V1449,0.27
V1450,0.19
V1451,0.33
V1452,0.16
V1453,0.14
V1454,0.81
V1455,0.33
V1456,0.05
V1457,0.81
V1458,0.86
V1459,0.26
V1460,0.42
V1461,0.21
V1462,0.84
V1463,0.81
V1464,0.26
V1465,0.34
V1466,0.14
V1467,0.3
V1468,0.29
V1469,0.79
V1470,0.18
V1471,0.25
V1472,0.07
V1473,0.33
V1474,0.19
