SNP,miss_prop
V2,0.24
V3,0.28
V4,0.27
V5,0.29
V6,0.33
V7,0.4
V8,0.35
V9,0.39
V10,0.32
V11,0.27
V12,0.39
V13,0.38
V14,0.38
V15,0.36
V16,0.76
V17,0.33
V18,0.31
V19,0.75
V20,0.39
V21,0.95
V22,0.33
V23,0.27
V24,0.75
V25,0.77
V26,0.33
V27,0.38
V28,0.28
V29,0.31
V30,0.35
V31,0.82
V32,0.39
V33,0.83
V34,0.27
V35,0.3
V36,0.28
V37,0.24
V38,0.36
V39,0.36
V40,0.19
V41,0.33
V42,0.3
V43,0.3
V44,0.78
V45,0.81
V46,0.09
V47,0.24
V48,0.33
V49,0.31
V50,0.15
V51,0.38
V52,0.99
V53,0.79
V54,0.28
V55,0.34
V56,0.39
V57,0.37
V58,0.34
V59,0.37
V60,0.22
V61,0.33
V62,0.81
V63,0.77
V64,0.22
V65,0.33
V66,0.28
V67,0.22
V68,0.35
V69,0.33
V70,0.22
V71,0.32
V72,0.82
V73,0.22
V74,0.29
V75,0.35
V76,0.39
V77,0.14
V78,0.22
V79,0.32
V80,0.34
V81,0.38
V82,0.28
V83,0.23
V84,0.31
V85,0.1
V86,0.27
V87,0.79
V88,0.38
V89,0.11
V90,0.35
V91,0.98
V92,0.34
V93,0.12
V94,0.37
V95,0.28
V96,0.34
V97,0.77
V98,0.38
V99,0.38
V100,0.28
V101,0.39
V102,0.31
V103,0.33
V104,0.28
V105,0.81
V106,0.31
V107,0.2
V108,0.28
V109,0.28
V110,0.17
V111,0.18
V112,0.28
V113,0.32
V114,0.32
V115,0.19
V116,0.8
V117,0.75
V118,0.35
V119,0.39
V120,0.33
V121,0.79
V122,0.37
V123,0.19
V124,0.79
V125,0.81
V126,0.32
V127,0.24
V128,0.36
V129,0.31
V130,0.39
V131,0.37
V132,0.34
V133,0.06
V134,0.38
V135,0.19
V136,0.2
V137,0.36
V138,0.17
V139,0.3
V140,0.77
V141,0.41
V142,0.23
V143,0.99
V144,0.34
V145,0.76
V146,0.28
V147,0.23
V148,0.32
V149,0.4
V150,0.77
V151,0.35
V152,0.39
V153,0.25
V154,0.78
V155,0.4
V156,0.4
V157,0.77
V158,0.31
V159,0.75
V160,0.38
V161,0.39
V162,0.23
V163,0.4
V164,0.38
V165,0.39
V166,0.17
V167,0.33
V168,0.39
V169,0.32
V170,0.39
V171,0.29
V172,0.32
V173,0.75
V174,0.28
V175,0.2
V176,0.15
V177,0.29
V178,0.26
V179,0.36
V180,0.76
V181,0.4
V182,0.97
V183,0.27
V184,0.39
V185,0.26
V186,0.33
V187,0.75
V188,0.33
V189,0.32
V190,0.31
V191,0.22
V192,0.21
V193,0.36
V194,0.76
V195,0.35
V196,0.39
V197,0.23
V198,0.75
V199,0.99
V200,0.39
V201,0.4
V202,0.35
V203,0.78
V204,0.22
V205,0.39
V206,0.17
V207,0.38
V208,0.34
V209,0.75
V210,0.26
V211,0.17
V212,0.36
V213,0.29
V214,0.88
V215,0.33
V216,0.1
V217,0.37
V218,0.38
V219,0.24
V220,0.39
V221,0.33
V222,0.32
V223,0.39
V224,0.34
V225,0.74
V226,0.18
V227,0.22
V228,0.35
V229,0.27
V230,0.29
V231,0.33
V232,0.33
V233,0.34
V234,0.13
V235,0.3
V236,0.24
V237,0.34
V238,0.32
V239,0.37
V240,0.22
V241,0.22
V242,0.39
V243,0.36
V244,0.26
V245,0.28
V246,0.07
V247,0.19
V248,0.27
V249,0.36
V250,0.31
V251,0.82
V252,0.35
V253,0.31
V254,0.31
V255,0.32
V256,0.4
V257,0.99
V258,0.32
V259,0.36
V260,0.38
V261,0.35
V262,0.25
V263,0.38
V264,0.25
V265,0.3
V266,0.39
V267,0.78
V268,0.28
V269,0.29
V270,0.21
V271,0.28
V272,0.09
V273,0.17
V274,0.28
V275,0.82
V276,0.39
V277,0.38
V278,0.29
V279,0.41
V280,0.25
V281,0.35
V282,0.2
V283,0.33
V284,0.38
V285,0.26
V286,0.71
V287,0.83
V288,0.38
V289,0.78
V290,0.28
V291,0.77
V292,0.33
V293,0.37
V294,0.81
V295,0.39
V296,0.15
V297,0.07
V298,0.39
V299,0.27
V300,0.39
V301,0.06
V302,0.99
V303,0.36
V304,0.78
V305,0.18
V306,0.29
V307,0.15
V308,0.37
V309,0.17
V310,0.39
V311,0.32
V312,0.26
V313,0.81
V314,0.39
V315,0.14
V316,0.98
V317,0.15
V318,0.11
V319,0.76
V320,0.32
V321,0.37
V322,0.39
V323,0.29
V324,0.35
V325,0.26
V326,0.26
V327,0.36
V328,0.3
V329,0.78
V330,0.39
V331,0.76
V332,0.33
V333,0.32
V334,0.33
V335,0.99
V336,0.36
V337,0.33
V338,0.13
V339,0.36
V340,0.35
V341,0.33
V342,0.36
V343,0.3
V344,0.32
V345,0.22
V346,0.27
V347,0.34
V348,0.31
V349,0.74
V350,0.17
V351,0.22
V352,0.17
V353,0.34
V354,0.27
V355,0.38
V356,0.3
V357,0.82
V358,0.34
V359,0.78
V360,0.39
V361,0.23
V362,0.3
V363,0.27
V364,0.18
V365,0.18
V366,0.36
V367,0.78
V368,0.3
V369,0.17
V370,0.11
V371,0.39
V372,0.23
V373,0.29
V374,0.32
V375,0.97
V376,0.36
V377,0.79
V378,0.2
V379,0.34
V380,0.81
V381,0.36
V382,0.33
V383,0.9
V384,0.28
V385,0.91
V386,0.32
V387,0.11
V388,0.14
V389,0.35
V390,0.24
V391,0.29
V392,0.31
V393,0.39
V394,0.38
V395,0.29
V396,0.33
V397,0.24
V398,0.83
V399,0.75
V400,0.78
V401,0.29
V402,0.16
V403,0.78
V404,0.28
V405,0.79
V406,0.38
V407,0.19
V408,0.3
V409,0.17
V410,0.4
V411,0.11
V412,0.31
V413,0.21
V414,0.81
V415,0.21
V416,0.34
V417,0.28
V418,0.32
V419,0.39
V420,0.78
V421,0.37
V422,0.36
V423,0.38
V424,0.39
V425,0.75
V426,0.32
V427,0.33
V428,0.37
V429,0.35
V430,0.12
V431,0.27
V432,0.12
V433,0.39
V434,0.38
V435,0.92
V436,0.37
V437,0.78
V438,0.77
V439,0.15
V440,0.36
V441,0.37
V442,0.37
V443,0.22
V444,0.26
V445,0.11
V446,0.32
V447,0.98
V448,0.33
V449,0.34
V450,0.18
V451,0.77
V452,0.27
V453,0.78
V454,0.15
V455,0.23
V456,0.09
V457,0.34
V458,0.22
V459,0.36
V460,0.23
V461,0.31
V462,0.23
V463,0.35
V464,0.95
V465,0.25
V466,0.33
V467,0.37
V468,0.31
V469,0.37
V470,0.88
V471,0.83
V472,0.39
V473,0.79
V474,0.38
V475,0.34
V476,0.21
V477,0.33
V478,0.29
V479,0.36
V480,0.36
V481,0.34
V482,0.33
V483,0.81
V484,0.25
V485,0.32
V486,0.76
V487,0.35
V488,0.78
V489,0.31
V490,0.33
V491,0.82
V492,0.33
V493,0.79
V494,0.21
V495,0.37
V496,0.36
V497,0.32
V498,0.28
V499,0.35
V500,0.85
V501,0.36
V502,0.39
V503,0.28
V504,0.38
V505,0.14
V506,0.33
V507,0.37
V508,0.33
V509,0.06
V510,0.36
V511,0.37
V512,0.36
V513,0.11
V514,0.25
V515,0.4
V516,0.39
V517,0.3
V518,0.21
V519,0.29
V520,0.14
V521,0.34
V522,0.77
V523,0.33
V524,0.23
V525,0.35
V526,0.77
V527,0.76
V528,0.24
V529,1
V530,0.38
V531,0.35
V532,0.75
V533,0.3
V534,0.34
V535,0.08
V536,0.39
V537,0.33
V538,0.38
V539,0.34
V540,0.3
V541,0.33
V542,0.78
V543,0.09
V544,0.3
V545,0.4
V546,0.06
V547,0.27
V548,0.18
V549,0.39
V550,1
V551,0.38
V552,0.38
V553,0.15
V554,0.75
V555,0.29
V556,0.35
V557,0.39
V558,0.35
V559,0.25
V560,0.35
V561,0.3
V562,0.18
V563,0.79
V564,0.78
V565,0.18
V566,0.35
V567,0.82
V568,0.37
V569,0.32
V570,0.83
V571,0.39
V572,0.75
V573,0.33
V574,0.12
V575,0.95
V576,0.35
V577,0.34
V578,0.36
V579,0.27
V580,0.2
V581,0.22
V582,0.39
V583,0.37
V584,0.33
V585,0.36
V586,0.17
V587,0.75
V588,0.41
V589,0.15
V590,0.38
V591,0.99
V592,0.78
V593,0.33
V594,0.17
V595,0.24
V596,0.32
V597,0.37
V598,0.27
V599,0.32
V600,0.4
V601,0.25
V602,0.25
V603,0.24
V604,0.32
V605,0.26
V606,0.22
V607,0.12
V608,0.39
V609,0.39
V610,0.38
V611,0.15
V612,0.83
V613,0.26
V614,0.39
V615,0.99
V616,0.29
V617,0.17
V618,0.39
V619,0.27
V620,0.14
V621,0.77
V622,0.76
V623,0.36
V624,0.34
V625,0.13
V626,0.4
V627,0.36
V628,0.38
V629,0.32
V630,0.29
V631,0.78
V632,0.24
V633,0.3
V634,0.75
V635,0.28
V636,0.82
V637,0.23
V638,0.34
V639,0.8
V640,0.33
V641,0.11
V642,0.88
V643,0.38
V644,0.4
V645,0.8
V646,0.25
V647,0.35
V648,0.23
V649,0.32
V650,0.32
V651,0.31
V652,0.33
V653,0.33
V654,0.25
V655,0.8
V656,0.1
V657,0.33
V658,0.39
V659,0.32
V660,0.35
V661,0.75
V662,0.67
V663,0.19
V664,0.22
V665,0.38
V666,0.34
V667,0.75
